"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18703043",-74.3484948068175,50.1099964998571,124.458491306675,266.999981350265,-36.7999974295502,0.299341870702306,1.11,9.21,34.13
"18703047",-71.9357449753462,57.02499601685,128.960740992196,272.549980962605,-27.7999980581924,0.454905362563346,1.72,13.68,41.72
"18703054",-67.2869953000576,69.3649951549109,136.651990454969,301.999978905544,-53.2499962805313,0.381837661840735,0.73,8.58,40.35
"18703061",-72.8002449149615,54.7799961736614,127.580241088623,315.099977990519,-29.6999979254792,0.440763226939615,1.15,10.06,34.57
"18704029",-74.9412447654144,-38.9999972758816,35.9412474895328,5.72499960011339,-55.8499960989224,12.1198102295374,0.199999999999999,0.399999999999999,13.93
"18704035",-72.7909949156076,43.9649969290804,116.755991844688,236.64998347019,-10.9090901470998,4.57969491948487,4.79,18.25,40.3
"18704041",-67.4214952906628,51.3849964107994,118.806491701462,303.799978779815,-13.2999990710057,0.50675985985036,4.14,16.74,41.59
"18704045",-66.1204953815366,63.569995559687,129.690490941224,163.349988590135,-37.9999973457306,0.520901995474089,1.96,23.74,51.17
"18704049",-73.7217448505955,56.4649960559655,130.186740906561,272.599980959111,-56.4499960570131,0.20977501175201,0.6,4.12,22.08
"18704054",-75.1174947531035,58.8349958904229,133.952490643526,294.249979446875,-38.9499972793739,0.360624458405139,1.4,13.16,39.67
"18704058",-73.5247448643558,50.7899964523597,124.314741316715,287.199979939312,-14.0499990186189,0.405407887880287,5.74,21.81,51.7
"18710040",-75.3477447370207,39.3799972493389,114.72774198636,261.599981727451,-21.8181802941995,0.322912096741856,1.45,8.41,25.65
"18710044",-67.7097452705288,46.3999967589976,114.109742029526,275.049980787979,-23.1499983829913,0.405407887880287,1.33,8.03,33.18
"18710048",-56.5937460469724,6.31999955855312,62.9137456055255,56.0999960814609,-4.74999966821639,0.506759859850359,3.56,11.75,30.43
"18710052",-72.8342449125867,45.2249968410704,118.059241753657,273.299980910215,-22.4999984283933,2.54322738966762,1.43,10.19,35.91
