"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
732,4.6,5.99999958090495
733,4.2,5.49999961582945
733,5.1,5.49999961582945
734,3,5.99999958090488
734,4.1,5.99999958090488
734,4.4,5.99999958090488
734,4.6,5.99999958090488
734,4.9,5.99999958090488
735,5,5.4999996158295
736,5,5.99999958090481
737,4.8,5.49999961582945
737,5.1,5.49999961582945
737,6.5,5.49999961582945
738,4.7,5.49999961582943
738,5,5.49999961582943
739,5,5.49999961582957
740,4.8,5.49999961582938
740,5.1,5.49999961582938
741,4.3,5.99999958090488
741,4.9,5.99999958090488
