"Sweep (n)","APD","APD value (ms)","APD value (mV)"
266,"APD 20",1.7,33.3499976705295
266,"APD 50",16.9,-8.24999942374418
266,"APD 90",41.8,-63.5999955575915
267,"APD 20",1.7,32.6999977159315
267,"APD 50",16.9,-8.59999939929697
267,"APD 90",42.1,-63.6999955506066
268,"APD 20",1.7,33.1499976844994
268,"APD 50",17.3,-8.59999939929697
268,"APD 90",42.6,-63.9499955331443
269,"APD 20",1.8,32.6999977159315
269,"APD 50",16.8,-8.64999939580451
269,"APD 90",42.3,-64.0499955261594
270,"APD 20",1.7,32.9999976949767
270,"APD 50",16.4,-8.39999941326681
270,"APD 90",41.2,-63.8999955366368
271,"APD 20",1.7,33.0499976914843
271,"APD 50",16.8,-8.24999942374418
271,"APD 90",42,-63.8499955401292
272,"APD 20",1.7,33.1499976844994
272,"APD 50",17,-8.24999942374418
272,"APD 90",42.1,-63.7999955436217
273,"APD 20",1.8,33.0999976879918
273,"APD 50",17.3,-8.44999940977435
273,"APD 90",42.4,-63.7499955471142
274,"APD 20",1.6,33.3499976705295
274,"APD 50",16.8,-8.24999942374418
274,"APD 90",42.1,-63.7499955471142
275,"APD 20",1.8,32.4999977299013
275,"APD 50",17.1,-8.54999940278943
275,"APD 90",42.2,-63.8499955401292
