"Sweep (n)","APD","APD value (ms)","APD value (mV)"
286,"APD 20",7,12.1499991513323
286,"APD 50",34,-20.999998533167
286,"APD 90",81.2,-65.0499954563102
287,"APD 20",6.8,12.1499991513323
287,"APD 50",34,-20.8999985401519
287,"APD 90",81.3,-64.9999954598027
288,"APD 20",6.7,12.0499991583173
288,"APD 50",33,-20.9499985366595
288,"APD 90",80.2,-64.9999954598027
289,"APD 20",6.8,12.5499991233927
289,"APD 50",33.3,-20.6499985576142
289,"APD 90",80.9,-64.8999954667876
290,"APD 20",6.5,11.9999991618097
290,"APD 50",33.4,-21.0499985296746
290,"APD 90",80.6,-64.8999954667876
291,"APD 20",6.3,12.1499991513323
291,"APD 50",32.3,-20.9499985366595
291,"APD 90",80.1,-64.8999954667876
292,"APD 20",6.4,12.5999991199002
292,"APD 50",32.4,-20.5999985611067
292,"APD 90",80.6,-64.8999954667876
293,"APD 20",6.8,12.1999991478399
293,"APD 50",33.3,-20.8999985401519
293,"APD 90",80.4,-65.0499954563102
294,"APD 20",6.4,12.4999991268851
294,"APD 50",33.4,-20.7999985471369
294,"APD 90",80.3,-64.9499954632951
295,"APD 20",6.4,12.5999991199002
295,"APD 50",32,-20.6999985541218
295,"APD 90",79.8,-64.9499954632951
