"Sweep (n)","APD","APD value (ms)","APD value (mV)"
79,"APD 20",0.5,43.5999969545753
79,"APD 50",2.2,2.94999979394489
79,"APD 90",18.2,-56.4499960570132
80,"APD 20",0.5,44.2999969056809
80,"APD 50",1.7,2.94999979394489
80,"APD 90",18.2,-56.5499960500283
81,"APD 20",0.5,43.5499969580678
81,"APD 50",1.6,2.0999998533167
81,"APD 90",18.2,-56.6499960430434
82,"APD 20",0.400000000000002,50.9999964376913
82,"APD 50",1.5,2.19999984633178
82,"APD 90",18.2,-56.799996032566
83,"APD 20",0.400000000000002,49.5999965354802
83,"APD 50",1.6,2.3499998358544
83,"APD 90",18.2,-56.7499960360585
