"Sweep (n)","APD","APD value (ms)","APD value (mV)"
61,"APD 20",1.1,40.7499971536455
61,"APD 50",13.7,-4.04999971711078
61,"APD 90",65.6,-63.2999955785463
62,"APD 20",1.1,40.4999971711078
62,"APD 50",13.7,-3.79999973457308
62,"APD 90",66.3,-63.3999955715614
63,"APD 20",1.1,40.5999971641229
63,"APD 50",14,-3.9499997240957
63,"APD 90",67,-63.3499955750538
64,"APD 20",1.1,40.7499971536455
64,"APD 50",14.3,-3.84999973108062
64,"APD 90",67.9,-63.1999955855312
65,"APD 20",1.1,40.6499971606304
65,"APD 50",14.1,-3.89999972758816
65,"APD 90",68.8,-63.1499955890237
