"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711038",-74.1874948180632,70.1099951028733,144.297489920937,243.299983005693,-89.7999937275428,0.129636243217533,0.46,2.88,21.2
"18711042",-73.8989948382147,53.9299962330332,127.828991071248,333.19997672625,-34.2999976041724,0.103708994574026,0.940000000000001,5.76,27
"18711046",-68.3419952263667,57.4399959878625,125.781991214229,329.599976977711,-31.2857121004323,0.190918830920369,1.48,10.86,33.5
"18711050",-70.7629950572618,68.3499952258079,139.11299028307,290.799979687856,-79.3999944539741,0.0966379267621618,0.460000000000001,3.04,21.3
"18711054",-66.1099953822701,58.2299959326817,124.339991314952,230.199983920715,-74.0999948241766,0.273414622058798,0.439999999999999,3.26,29.16
"18711058",-72.2469949536056,48.7799965927565,121.026991546362,320.499977613333,-19.6999986239709,0.14613540144522,1.74,7.98,32.76
"18711071",-73.1354948915446,58.6399959040435,131.775490795588,336.799976474793,-44.4999968917111,0.129636243217534,0.74,5.04,24.38
"18712049",-72.096994964083,48.4999966123143,120.596991576397,300.499979010318,-23.0999983864839,0.0872098363463406,1.2,5.56,21.26
"18712053",-76.473494658388,56.5799960479328,133.053490706321,333.899976677357,-41.0999971291985,0.131993265821489,0.899999999999999,6.7,24
"18712057",-72.6744949237451,55.9599960912393,128.634491014984,367.799974309473,-24.3999982956797,0.207417989148054,2.74,12.32,30.22
"18712061",-71.9989949709282,59.849995819526,131.848990790454,361.299974763489,-30.5999978626149,0.247487373415291,2.52,14.8,44.28
"18712066",-75.2149947462932,58.569995908933,133.784990655226,349.799975566755,-27.5999980721624,0.240416305603426,2.02,13.7,39.78
"18712072",-75.0139947603329,54.5899961869327,129.603990947266,304.699978716953,-38.6999972968363,0.0636396103067896,0.839999999999999,3.82,16
"18713033",-81.2794943226928,59.889995816732,141.169490139425,317.699977808914,-63.2999955785465,0.240416305603426,0.58,9.08,38.74
"18713038",-76.6884946433704,56.8499960290736,133.538490672444,337.799976404941,-38.2999973247763,0.216846079563875,1.04,7.28,32.3
"18713044",-74.0179948299027,58.4999959138224,132.517990743725,292.299979583082,-42.8999970034695,0.381837661840736,1.14,9.58,47.54
"18716029",-84.0899941263816,66.0199953885565,150.109989514938,313.799978081323,-72.499994935934,0.325269119345811,0.519999999999999,7.24,52.36
"18716033",-83.4819941688499,59.3499958544506,142.831990023301,360.599974812383,-70.4999950756333,0.0989949493661167,0.5,2.8,18.36
"18716037",-84.3214628602137,55.5899961170835,139.911458977297,401.999971920631,-31.5999977927654,0.275771644662753,1.9,11.06,40.82
"18716042",-85.1259940540179,60.3199957866969,145.445989840715,250.899982474841,-50.9999964376914,0.320555074137902,1,9.88,32.16
"18716046",-82.9659942048921,46.4399967562036,129.405990961096,357.899975000973,-22.4999984283931,0.30169889330626,1.6,8.56,34.84
"18716051",-84.9519940661716,54.8099961715659,139.761990237738,360.59997481238,-30.2999978835696,0.228631192583651,1.64,10.52,38.08
"18716055",-80.0754944067912,67.4799952865767,147.555489693368,339.699976272228,-50.6999964586458,0.865027295651541,1.8,16.78,80.86
