"Sweep (n)","APD","APD value (ms)","APD value (mV)"
37,"APD 20",0.899999999999999,28.399998016283
37,"APD 50",4.3,-13.7999990360812
37,"APD 90",17.8,-70.4499950791246
38,"APD 20",0.899999999999999,27.8499980547001
38,"APD 50",4.3,-14.799998966232
38,"APD 90",17.9,-70.2999950896019
39,"APD 20",1,27.099998107087
39,"APD 50",4.4,-15.0499989487697
39,"APD 90",17.9,-70.4999950756321
40,"APD 20",0.899999999999999,28.3499980197755
40,"APD 50",4.3,-14.1999990081415
40,"APD 90",17.9,-70.4999950756321
41,"APD 20",0.899999999999999,27.9999980442227
41,"APD 50",4.3,-14.249999004649
41,"APD 90",18,-70.4499950791246
