"Sweep (n)","APD","APD value (ms)","APD value (mV)"
422,"APD 20",0.899999999999999,28.1999980302528
422,"APD 50",5.1,-13.1499990814832
422,"APD 90",21.4,-69.8999951175416
423,"APD 20",0.800000000000001,28.8999979813584
423,"APD 50",5.1,-13.4499990605284
423,"APD 90",21.4,-69.9499951140492
424,"APD 20",0.800000000000001,28.7499979918358
424,"APD 50",5.2,-13.9999990221113
424,"APD 90",21.4,-70.0499951070642
425,"APD 20",0.899999999999999,28.2999980232679
425,"APD 50",5.2,-13.6499990465586
425,"APD 90",21.4,-69.9499951140492
426,"APD 20",0.800000000000001,28.7999979883433
426,"APD 50",5.2,-14.149999011634
426,"APD 90",21.4,-70.0999951035718
