"Sweep (n)","APD","APD value (ms)","APD value (mV)"
51,"APD 20",0.9,42.0499970628416
51,"APD 50",33,1.5999998882413
51,"APD 90",86.4,-52.7499963154552
52,"APD 20",0.800000000000001,42.3999970383944
52,"APD 50",33.5,1.54999989173376
52,"APD 90",86.5,-52.7499963154552
53,"APD 20",1.6,42.2499970488717
53,"APD 50",33.4,1.54999989173376
53,"APD 90",86.5,-52.7999963119628
54,"APD 20",0.9,42.1999970523642
54,"APD 50",33.6,1.54999989173376
54,"APD 90",86.6,-52.7499963154552
55,"APD 20",0.9,42.1999970523642
55,"APD 50",34,1.49999989522622
55,"APD 90",86.7,-52.6499963224402
