"Sweep (n)","APD","APD value (ms)","APD value (mV)"
763,"APD 20",5,26.4999981489965
763,"APD 50",19.3,-11.3499992072117
763,"APD 90",44.7,-62.0499956658578
764,"APD 20",5,26.4499981524889
764,"APD 50",19.1,-11.3999992037192
764,"APD 90",44.6,-62.0499956658578
765,"APD 20",4.9,26.6499981385191
765,"APD 50",18.8,-11.2499992141966
765,"APD 90",44.4,-61.8999956763352
766,"APD 20",4.9,26.8499981245493
766,"APD 50",19,-11.2499992141966
766,"APD 90",44.3,-61.9499956728427
767,"APD 20",4.9,26.6999981350266
767,"APD 50",19,-11.2499992141966
767,"APD 90",44.3,-61.9499956728427
