"Sweep (n)","APD","APD value (ms)","APD value (mV)"
117,"APD 20",34.8,2.79999980442227
117,"APD 50",74,-27.3999980861322
117,"APD 90",124.1,-67.6999952712099
118,"APD 20",34.6,2.59999981839211
118,"APD 50",73.6,-27.3999980861322
118,"APD 90",124.4,-67.3999952921646
119,"APD 20",35.1,2.29999983934686
119,"APD 50",73.4,-27.6999980651774
119,"APD 90",124.7,-67.5937452786313
120,"APD 20",33.6,2.0999998533167
120,"APD 50",73.6,-27.8999980512076
120,"APD 90",125.2,-67.6999952712099
121,"APD 20",34.9,2.19999984633178
121,"APD 50",73.8,-27.6999980651774
121,"APD 90",124.6,-67.4999952851797
