"Sweep (n)","APD","APD value (ms)","APD value (mV)"
884,"APD 20",2.4,-8.69999939231205
884,"APD 50",7.8,-33.5999976530672
884,"APD 90",29.3,-66.8999953270892
885,"APD 20",2.4,-7.99999944120648
885,"APD 50",7.7,-33.2499976775144
885,"APD 90",29.4,-66.7999953340741
886,"APD 20",2.3,-8.34999941675927
886,"APD 50",7.6,-33.5499976565597
886,"APD 90",29.5,-66.9499953235968
887,"APD 20",2.4,-7.94999944469894
887,"APD 50",7.8,-33.3499976705295
887,"APD 90",29.5,-66.8999953270892
888,"APD 20",2.4,-8.34999941675927
888,"APD 50",7.8,-33.4999976600521
888,"APD 90",29.5,-66.9499953235968
