"Sweep (n)","APA (mV)"
1,91.1193783161484
2,91.967766927974
3,91.2811214687626
4,92.565911416887
5,91.1987240136573
6,91.0278255882536
7,90.0726254605506
8,90.9667904363237
9,91.1956722560608
10,90.5364926152179
11,89.2852720006549
12,91.690056986693
13,91.7358333506404
14,89.8193295800415
15,89.55077491155
16,90.3991635233756
17,89.0411313929353
18,89.2761167278654
19,89.7552426705151
20,87.7777037479864
21,87.4420104123719
22,88.1469664171623
23,88.4490904192153
24,88.4155210856538
25,87.7593932024074
26,87.2863707749507
27,87.1765075014768
28,86.9567809545292
29,87.4694762307404
30,86.5051208302479
31,86.2396179193529
32,86.8011413171079
33,85.6933533095803
34,85.1776062757726
35,85.9466491900893
36,85.1074158510532
37,86.1877380402125
38,85.7086120975627
39,84.5580994836841
40,84.7869813034212
41,84.6527039691755
42,84.933465668053
43,85.6567322184223
44,84.6618592419649
45,85.0921570630707
46,84.5855653020526
47,85.4492127018607
48,85.1928650637551
49,83.5266054160688
50,84.2010438448942
51,84.1583192385433
52,84.4299256646313
