"Sweep (n)","APA (mV)"
1,104.061882282884
2,105.181877320797
3,104.351799254551
4,102.75878178918
5,102.987663608918
6,104.327385193779
7,104.846183985183
8,104.934684955481
9,104.364006284937
10,104.37010980013
11,103.808586402375
12,103.442375490795
13,103.228752459041
14,102.88085209304
15,103.097526882391
16,102.835075729093
17,102.804558153128
18,102.00194590525
19,101.150505535828
20,99.938957770019
21,100.326530984774
22,99.9114919516506
23,99.8840261332821
24,100.62560322923
25,97.7111747245777
26,99.8535085573172
27,99.7344900110539
28,97.7020194517882
29,98.724358246614
30,98.2177664855958
31,98.3184744862802
32,98.5534598212103
33,97.0825126596997
34,95.8618096211017
35,91.5985042587981
36,93.5821466965199
37,89.8834164895679
38,98.0712821209641
39,96.1791924111372
40,91.6351253499561
41,83.7463319630164
42,78.6682073224487
43,87.7166685960565
44,94.6502618552932
45,89.5538266691465
46,85.6048523392819
47,84.957879728825
48,55.5969198929463
49,68.4783887077518
50,66.1956740255736
51,81.8542422531895
52,85.5926453088959
53,91.4123470454119
54,86.4959655574584
55,64.9932815325545
56,62.4023393331302
57,60.7849078069879
58,81.9580020114703
59,68.5607861628572
60,92.0562678982724
61,81.9946231026283
62,79.1168156891335
63,54.0435752763304
64,51.9226037467663
65,55.0018271616298
66,40.4235811231731
67,71.0998484831411
68,65.9820509938189
69,69.3908642291038
70,80.2978458789771
71,60.415645137812
72,48.6450160881307
73,55.1483115262616
74,61.7340044194978
75,90.7501156469725
76,70.1019237490872
77,60.1287799237415
78,52.3406945374862
79,43.228146354352
80,64.5202591050978
81,81.3903750985223
82,78.6224309585013
83,56.2866171097542
84,41.0156220968931
85,33.4564185303749
86,52.0080529594682
