"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",282,21.0266098398507,4443.85
1,"APD 50",473.1,-4.21142548316313,4634.95
1,"APD 90",641.5,-37.9028293484682,4803.35
2,"APD 20",263.15,21.7895492389745,6364.85
2,"APD 50",459.95,-3.41796850807443,6561.65
2,"APD 90",628.849999999999,-36.8652317656599,6730.55
3,"APD 20",278.25,22.5524886380982,8332.9
3,"APD 50",458.699999999999,-3.41796850807443,8513.35
3,"APD 90",605.199999999999,-37.7502414686434,8659.85
4,"APD 20",244.300000000001,22.8576643977477,9884.9
4,"APD 50",424.150000000001,-2.83813456474037,10064.75
4,"APD 90",607.1,-37.1398899493444,10247.7
5,"APD 20",224.5,22.7966292458178,11333.15
5,"APD 50",392.4,-2.44140607719602,11501.05
5,"APD 90",571.199999999999,-36.163327518466,11679.85
6,"APD 20",217.799999999999,21.8200668149394,12769.25
6,"APD 50",402.35,-2.92968729263522,12953.8
6,"APD 90",573.85,-35.8886693347815,13125.3
7,"APD 20",233.25,22.1862777265188,14239.1
7,"APD 50",380.950000000001,-2.68554668491562,14386.8
7,"APD 90",545.15,-35.8581517588165,14551
8,"APD 20",228.200000000001,22.5830062140632,15690.2
8,"APD 50",370,-1.98364243772177,15832
8,"APD 90",513.300000000001,-34.7900366000433,15975.3
9,"APD 20",206.349999999999,25.2990704749437,17100.85
9,"APD 50",386.049999999999,-0.427246063509303,17280.55
9,"APD 90",539.299999999999,-34.7595190240783,17433.8
10,"APD 20",169.149999999998,22.0336898466941,18460.95
10,"APD 50",301.649999999998,-2.01416001368672,18593.45
10,"APD 90",447.049999999999,-34.0881323528494,18738.85
11,"APD 20",185.400000000001,22.9492171256426,19918.75
11,"APD 50",335.5,-1.34277334245781,20068.85
11,"APD 90",487.650000000001,-33.7829565931999,20221
12,"APD 20",148.75,19.4702134656383,20961.25
12,"APD 50",265.5,-3.29589820421463,21078
12,"APD 90",461.25,-33.6914038653051,21273.75
13,"APD 20",188,21.5454086312549,22237.5
13,"APD 50",300.650000000001,-1.34277334245781,22350.15
13,"APD 90",453.350000000002,-31.890866883373,22502.85
14,"APD 20",186.349999999999,22.6135237900281,23511.15
14,"APD 50",320.149999999998,-1.03759758280831,23644.95
14,"APD 90",482.449999999997,-32.6538062824968,23807.25
