"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 20",53.8999999999996,6.71386671228905,7662.7
1,"APD 50",105.25,-10.406493404048,7714.05
1,"APD 90",245.8,-33.2641578017958,7854.6
2,"APD 20",75.8000000000011,6.95800732000865,15287.15
2,"APD 50",135.049999999999,-11.3220206829965,15346.4
2,"APD 90",929.049999999999,-35.6140111510969,16140.4
3,"APD 20",61.3499999999985,20.3857407445868,18024.7
3,"APD 50",98.1500000000015,-2.62451153298572,18061.5
3,"APD 90",136.099999999999,-33.1726050739009,18099.45
4,"APD 20",77.6000000000022,26.4587383616119,21318.05
4,"APD 50",123.150000000001,0.671386671228905,21363.6
4,"APD 90",185.25,-33.5388159854803,21425.7
5,"APD 20",81.9500000000007,28.9916971667027,23200.65
5,"APD 50",136.350000000002,2.92968729263522,23255.05
5,"APD 90",195.150000000001,-31.8298317314431,23313.85
