"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 10",25,19.0429674021289,566.9
1,"APD 30",49,9.00268490966032,590.9
1,"APD 50",69.85,-1.03759758280831,611.75
1,"APD 70",97.25,-11.1389152272068,639.15
1,"APD 90",148.2,-21.1486801437105,690.1
2,"APD 10",22.1999999999998,19.9584946810775,1213.45
2,"APD 30",49.5999999999999,9.36889582123972,1240.85
2,"APD 50",73.8999999999999,-1.22070303859801,1265.15
2,"APD 70",101.8,-11.7797843224708,1293.05
2,"APD 90",166.3,-22.3693831823085,1357.55
3,"APD 10",22.95,15.4724110142298,1959.95
3,"APD 30",45.5,6.04248004106015,1982.5
3,"APD 50",69.3500000000001,-3.44848608403938,2006.35
3,"APD 70",100.7,-12.8173819052791,2037.7
3,"APD 90",162.2,-22.2167953024838,2099.2
4,"APD 10",17.9000000000001,11.047362499312,2683.1
4,"APD 30",39.5999999999999,2.77709941281047,2704.8
4,"APD 50",59.9499999999998,-5.37109336983124,2725.15
4,"APD 70",91.1999999999998,-13.5803213044029,2756.4
4,"APD 90",139.65,-21.8200668149394,2804.85
5,"APD 10",16.8999999999996,6.34765580070965,3376.75
5,"APD 30",34.6999999999998,-1.06811515877326,3394.55
5,"APD 50",54.3999999999996,-8.45336854229122,3414.25
5,"APD 70",80.6499999999996,-15.8691395017741,3440.5
5,"APD 90",128.55,-23.2543928852921,3488.4
6,"APD 10",23.1500000000001,1.06811515877326,4071
6,"APD 30",50.1000000000004,-5.40161094579619,4097.95
6,"APD 50",72.5500000000002,-11.8713370503656,4120.4
6,"APD 70",97.3500000000004,-18.402098306865,4145.2
6,"APD 90",145.3,-24.8107892595045,4193.15
7,"APD 10",21.4000000000005,17.5170886038814,4771.75
7,"APD 30",42.8500000000004,7.26318307965816,4793.2
7,"APD 50",63.25,-2.96020486860017,4813.6
7,"APD 70",91,-13.2446279687884,4841.35
7,"APD 90",138,-23.4680159170467,4888.35
8,"APD 10",18.8000000000002,12.9089346331739,5692.7
8,"APD 30",38.0500000000002,3.90624972351363,5711.95
8,"APD 50",58.25,-5.09643518614669,5732.15
8,"APD 70",85.6999999999998,-14.1601552477369,5759.6
8,"APD 90",126.55,-23.1323225814323,5800.45
9,"APD 10",20.8999999999996,20.6603989282713,6487.35
9,"APD 30",47.9499999999998,9.46044854913457,6514.4
9,"APD 50",72.25,-1.52587879824751,6538.7
9,"APD 70",101.849999999999,-12.6953116014193,6568.3
9,"APD 90",145.099999999999,-23.7121565247663,6611.55
10,"APD 10",26.75,21.2707504475703,7176.55
10,"APD 30",57.9000000000005,9.70458915685418,7207.7
10,"APD 50",84.1999999999998,-1.77001940596711,7234
10,"APD 70",113.05,-13.2446279687884,7262.85
10,"APD 90",163.7,-24.7802716835396,7313.5
11,"APD 10",26.0999999999995,20.6603989282713,7881.95
11,"APD 30",53.3000000000002,9.27734309334487,7909.15
11,"APD 50",75.0500000000002,-2.10571274158157,7930.9
11,"APD 70",103.8,-13.5498037284379,7959.65
11,"APD 90",161.9,-24.8718244114344,8017.75
12,"APD 10",22.5,21.7590316630095,8638.4
12,"APD 30",52.9499999999989,10.0402824924686,8668.85
12,"APD 50",79.1999999999989,-1.58691395017741,8695.1
12,"APD 70",111.449999999999,-13.3361806966833,8727.35
12,"APD 90",166.25,-24.9328595633643,8782.15
13,"APD 10",24.9499999999989,20.4162583205517,9266.7
13,"APD 30",55.6499999999996,8.91113218176547,9297.4
13,"APD 50",80.1999999999989,-2.71606426088057,9321.95
13,"APD 70",115.25,-14.129637671772,9357
13,"APD 90",188.549999999999,-25.6652813865231,9430.3
14,"APD 10",22.75,16.0522449575638,9962.45
14,"APD 30",47.1000000000004,5.82885700930549,9986.8
14,"APD 50",72.6499999999996,-4.51660124281264,10012.35
14,"APD 70",106.85,-14.739989191071,10046.55
14,"APD 90",185.300000000001,-25.0549298672241,10125
15,"APD 10",21.4500000000007,11.4440909868563,10786.9
15,"APD 30",44.0500000000011,2.47192365316097,10809.5
15,"APD 50",69.7000000000007,-6.5002436805344,10835.15
15,"APD 70",105.5,-15.5029285901947,10870.95
15,"APD 90",148.25,-24.4750959238901,10913.7
16,"APD 10",24.75,18.3105455789701,11472.2
16,"APD 30",53.1499999999996,7.65991156720251,11500.6
16,"APD 50",78.3500000000004,-2.96020486860017,11525.8
16,"APD 70",111.25,-13.5803213044029,11558.7
16,"APD 90",167.6,-24.2919904681004,11615.05
17,"APD 10",21.2000000000007,13.1530752408936,12267.7
17,"APD 30",42.5,3.81469699561878,12289
17,"APD 50",66.9000000000015,-5.58471640158589,12313.4
17,"APD 70",102.450000000001,-14.8925770708957,12348.95
17,"APD 90",158.5,-24.2919904681004,12405
18,"APD 10",20.5499999999993,19.4091783137084,13051.5
18,"APD 30",46.2000000000007,8.05664005474686,13077.15
