"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 10",27.9499999999999,25.0549298672241,615.6
1,"APD 30",99.3,6.77490186421895,686.95
1,"APD 50",135.6,-11.3830558349264,723.25
1,"APD 70",167.5,-29.6630838379316,755.15
1,"APD 90",209.95,-47.821041537077,797.6
2,"APD 10",25.4000000000001,25.8789044182778,1083.5
2,"APD 30",105.85,7.47680611141281,1163.95
2,"APD 50",143.35,-10.8947746194872,1201.45
2,"APD 70",179.8,-29.3884256542471,1237.9
2,"APD 90",223.35,-47.6989712332172,1281.45
3,"APD 10",24.1000000000001,25.0549298672241,1536.1
3,"APD 30",94.45,6.8054194401839,1606.45
3,"APD 50",128.85,-11.4746085628213,1640.85
3,"APD 70",162.75,-29.7851541417914,1674.75
3,"APD 90",206.4,-47.9431118409368,1718.4
4,"APD 10",26.6999999999998,26.0925274500324,1980.05
4,"APD 30",105.95,7.62939399123756,2059.3
4,"APD 50",142.3,-10.9558097714171,2095.65
4,"APD 70",173.05,-29.4799783821419,2126.4
4,"APD 90",217.85,-47.9125942649719,2171.2
5,"APD 10",26.8499999999999,25.2990704749437,2407.45
5,"APD 30",96.5499999999997,7.08007762386845,2477.15
5,"APD 50",133.55,-11.1389152272068,2514.15
5,"APD 70",166.75,-29.3884256542471,2547.35
5,"APD 90",216.1,-47.6684536572523,2596.7
6,"APD 10",25.1999999999998,25.756834114418,2851.5
6,"APD 30",96.8499999999999,7.59887641527261,2923.15
6,"APD 50",133.15,-10.6201164358027,2959.45
6,"APD 70",164.9,-28.9001444388079,2991.2
6,"APD 90",211.9,-47.0275845619883,3038.2
7,"APD 10",22.75,25.4211407788035,3309.35
7,"APD 30",91.0999999999999,7.38525338351796,3377.7
7,"APD 50",125.9,-10.6201164358027,3412.5
7,"APD 70",158.2,-28.6254862551233,3444.8
7,"APD 90",202.6,-46.6613736504089,3489.2
8,"APD 10",25.6499999999996,26.0620098740675,3762.5
8,"APD 30",97.6999999999998,7.87353459895716,3834.55
8,"APD 50",132.65,-10.3454582521181,3869.5
8,"APD 70",164.1,-28.5339335272285,3900.95
8,"APD 90",205.75,-46.7529263783038,3942.6
9,"APD 10",27.5999999999995,26.4282207856469,4193.1
9,"APD 30",100.9,8.08715763071181,4266.4
9,"APD 50",136.599999999999,-10.0708000684336,4302.1
9,"APD 70",171.65,-28.2897929195089,4337.15
9,"APD 90",217.65,-46.5393033465491,4383.15
10,"APD 10",24.3000000000002,25.4821759307334,4617.9
10,"APD 30",93,7.38525338351796,4686.6
10,"APD 50",126.900000000001,-10.7421867396625,4720.5
10,"APD 70",157.6,-28.839109286878,4751.2
10,"APD 90",202.400000000001,-46.9970669860234,4796
11,"APD 10",27.3499999999995,25.2990704749437,5067.85
11,"APD 30",94,7.44628853544786,5134.5
11,"APD 50",129.7,-10.4675285559779,5170.2
11,"APD 70",162.15,-28.2592753435439,5202.65
11,"APD 90",208.049999999999,-46.1425748590048,5248.55
12,"APD 10",29.8000000000002,26.5197735135418,5486.45
12,"APD 30",102.099999999999,8.20922793457161,5558.75
12,"APD 50",137.05,-10.1013176443985,5593.7
12,"APD 70",172.55,-28.4423807993336,5629.2
12,"APD 90",222,-46.7834439542687,5678.65
13,"APD 10",26.5500000000002,26.6113262414366,5904.95
13,"APD 30",100.65,8.27026308650151,5979.05
13,"APD 50",135.65,-10.0402824924686,6014.05
13,"APD 70",169.3,-28.3813456474037,6047.7
13,"APD 90",216.4,-46.7224088023388,6094.8
14,"APD 10",28.4499999999998,26.1535626019624,6346.35
14,"APD 30",94.6499999999996,8.20922793457161,6412.55
14,"APD 50",129.9,-9.73510673281913,6447.8
14,"APD 70",163,-27.6794414002099,6480.9
14,"APD 90",208.849999999999,-45.6542936435656,6526.75
15,"APD 10",29,26.7333965452964,6814.9
15,"APD 30",98.3499999999995,8.81957945387062,6884.25
15,"APD 50",133.8,-8.97216733369537,6919.7
15,"APD 70",167.9,-26.8859844251212,6953.8
15,"APD 90",215.599999999999,-44.8303190925119,7001.5
16,"APD 10",29.6000000000004,27.3742656405604,7260.4
16,"APD 30",103.150000000001,9.24682551737992,7333.95
16,"APD 50",138.2,-8.72802672597577,7369
16,"APD 70",169.55,-26.8249492731913,7400.35
16,"APD 90",213.2,-44.8913542444418,7444
17,"APD 10",29.0500000000002,26.1230450259974,7693.25
17,"APD 30",95.8500000000004,8.27026308650151,7760.05
17,"APD 50",130.1,-9.49096612509952,7794.3
17,"APD 70",160.35,-27.3742656405604,7824.55
17,"APD 90",205.650000000001,-45.1049772761964,7869.85
18,"APD 10",28.9499999999998,26.6418438174016,8109.1
18,"APD 30",95.6999999999998,8.78906187790567,8175.85
18,"APD 50",130,-9.15527278948507,8210.15
18,"APD 70",163.25,-26.9165020010861,8243.4
18,"APD 90",210.299999999999,-44.769283940582,8290.45
19,"APD 10",30.8500000000004,27.4963359444202,8552.45
19,"APD 30",103.35,9.58251885299437,8624.95
19,"APD 50",139.950000000001,-8.33129823843142,8661.55
19,"APD 70",172.050000000001,-26.2756329058222,8693.65
