"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 10",21.15,36.0717747905712,355.6
1,"APD 30",42.7,15.1672352545803,377.15
1,"APD 50",59.45,-5.55419882562094,393.9
1,"APD 70",86.95,-26.367185633717,421.4
1,"APD 90",122.45,-47.210690017778,456.9
2,"APD 10",20.35,36.7431614618001,717.6
2,"APD 30",42.1500000000001,15.7470691979143,739.4
2,"APD 50",58.1,-5.24902306597144,755.35
2,"APD 70",83.9000000000001,-26.2756329058222,781.15
2,"APD 90",118.75,-47.3327603216378,816
3,"APD 10",19.75,36.2548802463609,1065.8
3,"APD 30",40.8499999999999,15.4418934382648,1086.9
3,"APD 50",57.75,-5.43212852176114,1103.8
3,"APD 70",84.2,-26.3061504817871,1130.25
3,"APD 90",119.05,-47.1801724418131,1165.1
4,"APD 10",19.75,35.1562475116227,1436.3
4,"APD 30",39.8499999999999,14.6179188872112,1456.4
4,"APD 50",55.6499999999999,-5.98144488913025,1472.2
4,"APD 70",83.0999999999999,-26.5502910895067,1499.65
4,"APD 90",117.4,-47.0581021379533,1533.95
5,"APD 10",19.95,35.2783178154825,1791.45
5,"APD 30",41,14.7705067670359,1812.5
5,"APD 50",56.8500000000001,-5.82885700930549,1828.35
5,"APD 70",85.75,-26.5197735135418,1857.25
5,"APD 90",121,-47.0275845619883,1892.5
6,"APD 10",20.2999999999997,36.4379857021506,2143.8
6,"APD 30",42.0999999999999,15.5639637421246,2165.6
6,"APD 50",58.5499999999997,-5.37109336983124,2182.05
6,"APD 70",85.3499999999999,-26.2145977538923,2208.85
6,"APD 90",119.45,-46.9970669860234,2242.95
7,"APD 10",19.4499999999998,36.6821263098702,2498.4
7,"APD 30",41.3000000000002,15.7470691979143,2520.25
7,"APD 50",58.8499999999999,-5.21850549000649,2537.8
7,"APD 70",84.6500000000001,-26.1840801779273,2563.6
7,"APD 90",120.5,-47.1496548658481,2599.45
8,"APD 10",19.7999999999997,36.9567844935547,2825.75
8,"APD 30",43.5499999999997,15.930174653704,2849.5
8,"APD 50",62.5,-5.03540003421679,2868.45
8,"APD 70",89.1500000000001,-26.0925274500324,2895.1
8,"APD 90",121.35,-47.0581021379533,2927.3
9,"APD 10",19.4499999999998,36.5600560060104,3162.65
9,"APD 30",41.7999999999997,15.6860340459844,3185
9,"APD 50",59.4000000000001,-5.15747033807659,3202.6
9,"APD 70",85.2999999999997,-26.0314922981025,3228.5
9,"APD 90",117.95,-46.9360318340935,3261.15
10,"APD 10",19.3499999999999,36.2853978223258,3505.4
10,"APD 30",41.3499999999999,15.4113758622999,3527.4
10,"APD 50",58.5500000000002,-5.43212852176114,3544.6
10,"APD 70",85,-26.3366680577521,3571.05
10,"APD 90",119.6,-47.241207593743,3605.65
11,"APD 10",19.2000000000003,36.2243626703959,3848.55
11,"APD 30",41.4000000000001,15.4418934382648,3870.75
11,"APD 50",60.1000000000004,-5.34057579386629,3889.45
11,"APD 70",89.5500000000002,-26.0925274500324,3918.9
11,"APD 90",121.9,-46.9055142581285,3951.25
12,"APD 10",19.5,36.3464329742557,4189.1
12,"APD 30",42.1000000000004,15.6555164700195,4211.7
12,"APD 50",60.3000000000002,-5.12695276211164,4229.9
12,"APD 70",85.9499999999998,-25.726316538453,4255.55
12,"APD 90",119.05,-46.4172330426893,4288.65
13,"APD 10",19.6999999999998,36.1022923665361,4520.8
13,"APD 30",42.4499999999998,15.4418934382648,4543.55
13,"APD 50",59.25,-5.21850549000649,4560.35
13,"APD 70",85.5500000000002,-25.8178692663479,4586.65
13,"APD 90",117.3,-46.4782681946192,4618.4
14,"APD 10",16.75,35.9497044867114,4855
14,"APD 30",37.6499999999996,15.319823134405,4875.9
14,"APD 50",54.4499999999998,-5.18798791404154,4892.7
14,"APD 70",80.1999999999998,-25.8789044182778,4918.45
14,"APD 90",111.5,-46.3256803147945,4949.75
15,"APD 10",20.75,36.2243626703959,5185.55
15,"APD 30",42.5,15.4724110142298,5207.3
15,"APD 50",60.3000000000002,-5.00488245825184,5225.1
15,"APD 70",85.2000000000007,-25.6347638105582,5250
15,"APD 90",118.05,-46.2341275868996,5282.85
16,"APD 10",18.5999999999995,36.0107396386413,5517
16,"APD 30",42.3499999999995,15.4724110142298,5540.75
16,"APD 50",61.3999999999996,-5.09643518614669,5559.8
16,"APD 70",87.9499999999998,-25.6347638105582,5586.35
