"Sweep (n)","Ediast (mV)"
1,-57.031245963299
2,-56.9641072961761
3,-57.1624715399483
4,-57.2570760254396
5,-56.8359334771233
6,-56.2072714122453
7,-55.7403524999816
8,-55.9020956525958
9,-55.7342489847886
10,-56.0821493507891
11,-55.1361044958756
12,-56.0455282596311
13,-55.9692343197187
14,-54.7241172203488
15,-53.8452110325582
16,-54.0222129731549
17,-54.0985069130673
18,-53.7841758806283
19,-53.2867393923996
20,-52.9876671479431
21,-52.0416222930296
22,-51.6479455630818
23,-52.5299035084688
24,-50.9704553766599
25,-51.2603723483269
26,-51.0620081045547
27,-49.9755824002025
28,-50.1220667648343
29,-51.1230432564846
30,-51.0742151349407
31,-50.4425013124662
32,-50.0884974312728
33,-49.7131312469039
34,-49.4110072448509
35,-49.6612513677635
36,-49.0966762124119
37,-50.0549280977114
38,-48.8433803319029
39,-48.0285610536387
40,-48.3795131772356
41,-48.12316553913
42,-48.0682339023931
43,-48.9746059085521
44,-48.2543911157793
45,-49.3255580321491
46,-48.7884486951659
47,-48.4924282083059
48,-49.1210902731839
49,-47.5158657774275
50,-48.6785854216921
51,-48.3917202076216
52,-48.2971157221302
