"Sweep (n)","Ediast (mV)"
1,-57.6751668161595
2,-57.9101521510896
3,-57.6904256041419
4,-57.4096639052644
5,-57.3944051172819
6,-57.5134236635452
7,-57.7270466952999
8,-57.5714070578786
9,-57.4279744508434
10,-57.7087361497209
11,-57.2998006317906
12,-56.8420369923163
13,-56.8725545682813
14,-56.7077596580705
15,-56.6192586877722
16,-56.5704305662283
17,-56.5704305662283
18,-56.5002401415089
19,-56.0760458355961
20,-54.9865683736473
21,-55.9844931077012
22,-55.9051474101923
23,-56.2133749274383
24,-56.3751180800526
25,-54.559322310138
26,-56.3049276553332
27,-56.12487395714
28,-54.7637900691032
29,-55.8776815918239
30,-55.7678183183501
31,-55.2276572237704
32,-55.3405722548408
33,-54.602046916489
34,-53.6560020615755
35,-51.1627161052391
36,-52.6885949034866
37,-50.8209192544316
38,-54.7363242507347
39,-53.6376915159965
40,-51.4739953800816
41,-48.2238735398144
42,-45.5871549764427
43,-49.2340053042542
44,-53.0853233910309
45,-50.4913294340102
46,-48.4954799659024
47,-48.3978237228146
48,-37.3168918899411
49,-42.1722382259647
50,-41.7816132536134
51,-47.8881802041999
52,-48.0255092960422
53,-51.0070764678178
54,-48.9288295446047
55,-40.8538789442789
56,-39.3310519036279
57,-39.239499175733
58,-46.8933072277425
59,-41.7968720415958
60,-51.4678918648886
61,-47.3266568064448
62,-45.7611051594429
63,-35.0311254501664
64,-37.7014133470995
65,-37.5457737096783
66,-31.1767556057932
67,-43.4814422348611
68,-41.415402342034
69,-42.7795379876672
70,-46.0571256463029
71,-38.7481662026973
72,-35.8581517588165
73,-35.9222386683429
74,-34.3597387789375
75,-50.4974329492032
76,-41.7816132536134
77,-38.6749240203814
78,-35.6475804846584
79,-31.1737038481967
80,-40.3198213648923
81,-46.2951627388295
82,-46.304318011619
83,-38.8610812337676
84,-31.249997788109
85,-30.4656960858098
86,-34.4909643555868
