"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,1983.6,-4.88281215446321
2,1970.85,-5.49316367367103
3,1274.2,-4.88281215446314
4,1362.85,-4.88281215446307
5,385.5,-4.27246063515518
6,356.049999999999,-4.88281215446307
7,543.799999999999,-4.88281215446321
8,864,-4.27246063515533
9,17.0500000000011,-4.88281215428543
10,957.450000000001,-4.27246063515521
11,126.450000000001,-4.88281215446307
12,598.300000000003,-4.88281215410781
13,939.599999999999,-5.49316367377102
14,1043.25,-4.88281215446314
