"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,214.85,-4.27246063509704
2,351.2,-4.88281215439653
3,345.55,-5.49316367369601
4,344.35,-4.88281215437425
5,186.25,-4.27246063507747
6,278.15,-4.27246063511636
7,187.4,-4.88281215437439
8,332.35,-6.10351519296781
9,235.65,-4.27246063515526
10,324.95,-4.88281215437425
11,151.5,-4.88281215437439
12,332.650000000001,-4.27246063507775
13,167.85,-4.88281215437432
14,435.95,-4.88281215446307
15,272.7,-4.2724606350775
16,60.6999999999998,-4.27246063507775
17,304.299999999999,-4.27246063515518
18,318.15,-4.88281215446307
19,250.299999999999,-4.27246063515522
20,142.049999999999,-4.27246063515518
21,361.799999999999,-4.88281215446321
22,374.349999999999,-4.88281215446307
23,300.449999999999,-4.27246063515526
24,320.9,-4.8828121544631
25,199.75,-5.49316367357118
26,267.299999999999,-4.8828121544631
27,345.25,-4.88281215446307
28,191.5,-4.88281215446321
29,190.150000000001,-4.8828121542855
30,251.549999999999,-4.8828121544631
31,230.5,-4.8828121544631
32,310.15,-4.27246063515522
33,263.65,-4.27246063515522
34,398,-4.88281215446307
35,63.25,-4.88281215446307
36,375.450000000001,-4.88281215446321
37,287.299999999999,-4.88281215446309
38,284.75,-4.88281215446314
39,359.200000000001,-4.27246063515522
40,311.849999999999,-4.27246063515526
41,329.799999999999,-4.8828121544631
42,464.549999999999,-4.88281215446307
43,284.200000000001,-4.27246063515522
44,75.2999999999993,-4.27246063515533
45,322.099999999999,-4.88281215446307
46,239.950000000001,-4.27246063515526
47,381.75,-5.49316367377095
48,258.150000000001,-4.27246063515526
49,342.950000000001,-4.2724606351552
50,174.299999999999,-4.27246063515518
51,380.700000000001,-4.27246063515526
52,87.5499999999993,-4.27246063515518
