"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,310.05,-4.88281215439674
2,358.85,-4.27246063509704
3,177.55,-4.8828121543966
4,231.5,-4.88281215439648
5,219.55,-5.49316367367107
6,177.3,-4.88281215441866
7,214.95,-4.88281215437429
8,205.2,-4.27246063511636
9,192.35,-5.4931636736711
10,199,-4.88281215441869
11,209.2,-4.27246063511634
12,183,-4.88281215437439
13,184.8,-4.88281215437432
14,235.2,-4.88281215446307
15,184.6,-5.49316367367103
16,228.549999999999,-4.88281215446307
17,177.25,-4.88281215437425
18,162.4,-5.49316367367103
19,254,-4.88281215446321
20,212.65,-5.49316367367107
21,156.650000000001,-4.88281215437428
22,198.599999999999,-4.27246063515522
23,158.4,-4.88281215437427
24,140.7,-4.88281215437425
25,192.4,-4.27246063515522
26,159.5,-4.88281215446314
27,151.4,-4.27246063515526
28,174.699999999999,-4.88281215446307
29,160.4,-4.88281215446307
30,159.799999999999,-4.27246063515522
31,189.25,-5.49316367377095
32,231.5,-4.88281215428543
33,166.950000000001,-4.88281215446307
34,141.299999999999,-4.88281215446321
35,162.75,-4.88281215428545
36,154.5,-4.88281215446307
37,106.449999999999,-4.27246063515526
38,186.950000000001,-4.88281215428545
39,146.699999999999,-4.27246063515533
40,162.450000000001,-4.27246063515522
41,115.950000000001,-4.27246063515526
42,117,-4.88281215446307
43,179.799999999999,-4.27246063515522
44,179.4,-4.88281215446314
45,170.1,-4.27246063515522
46,112.4,-4.27246063515533
47,89.9499999999989,-5.49316367377102
48,131.799999999999,-5.49316367377099
49,107.75,-4.8828121544631
50,120.949999999999,-4.88281215446314
51,137.25,-5.49316367377102
52,114.449999999999,-4.88281215446321
53,99.2999999999993,-4.27246063515533
54,182.65,-4.88281215446307
55,114.15,-4.27246063515522
56,132.75,-4.27246063515521
57,130.149999999998,-4.27246063515521
58,118.700000000001,-5.49316367377097
59,190.950000000001,-4.88281215446307
60,133.349999999999,-4.27246063515522
61,139.25,-4.88281215446309
62,118.399999999998,-4.88281215446309
63,178.049999999999,-4.88281215446307
64,122.75,-4.2724606351552
65,154.400000000001,-4.27246063515522
66,187.099999999999,-4.88281215446307
67,92.4500000000007,-4.88281215446307
68,142.400000000001,-4.8828121541078
69,164.400000000001,-4.8828121544631
70,129.25,-4.8828121544631
71,138.650000000001,-4.27246063515518
72,166.099999999999,-4.88281215446309
73,11.9000000000015,-5.49316367337127
74,529,-4.27246063515522
75,137.200000000001,-4.88281215410782
76,107.350000000002,-4.88281215446307
77,20.25,-4.88281215446307
78,204.099999999999,-5.49316367377102
79,74.1999999999971,-4.27246063515518
80,216.949999999997,-4.88281215446307
81,162.700000000001,-4.27246063515522
82,141.549999999999,-4.88281215446309
83,167.799999999999,-4.2724606351552
84,70.1000000000022,-3.66210911584737
85,311.099999999999,-4.27246063515526
86,6.79999999999927,-4.27246063515518
