"Sweep (n)","Peak x (s)","Peak y (mV)"
1,2439.55,-4.45556609088273
2,2373.95,-4.02832002737343
3,2316.9,-4.18090790719818
4,1985.05,-4.39453093895283
5,2037.8,-5.12695276211164
6,2152.5,-4.60815397070749
7,2060.05,-4.82177700246214
8,2001.15,-4.66918912263739
9,1992.5,-4.63867154667244
10,1894.9,-4.57763639474254
11,1815.85,-4.60815397070749
12,1972.15,-4.63867154667244
13,1863.45,-4.27246063509303
14,2131.65,-3.87573214754868
15,1832.85,-3.75366184368888
16,1815.8,-2.38037092526612
17,1854.15,-2.74658183684552
18,1766.5,-3.29589820421463
19,1634.55,-3.57055638789918
20,1423.85000000001,-4.02832002737343
21,1206.65000000001,-4.94384730632194
22,1192.75,-6.22558549684985
23,1453.39999999999,2.71606426088057
24,862.75,-3.14331032438987
25,1048.64999999999,-5.12695276211164
26,1115.25,-5.8898921612354
27,1099,-6.71386671228905
28,1041.7,-7.62939399123756
29,1213.2,-6.9885248959736
30,1190.15000000001,-7.41577095948291
31,1140.25,-6.89697216807875
32,1176.15000000001,-6.744384288254
33,1133.25,-6.134032768955
34,1234.3,-5.55419882562094
35,1192.2,-5.37109336983124
36,1281.5,-4.51660124281264
37,1330.14999999999,-5.31005821790134
38,1291.79999999999,-5.40161094579619
39,1549.04999999999,-4.79125942649719
40,1124.05,-5.49316367369104
41,1194.89999999999,-6.0729976170251
42,1238.05,-5.8898921612354
43,1243.8,-5.09643518614669
44,1264.24999999999,-4.79125942649719
45,1287.89999999999,-5.40161094579619
46,1268.75,-4.76074185053224
47,1111.64999999999,-5.58471640158589
48,1098.2,-4.91332973035699
49,1073.80000000002,-5.24902306597144
50,1120.04999999999,-5.85937458527044
51,965.75,-6.04248004106015
52,900.799999999988,-6.46972610456945
53,921.899999999994,-7.90405217492211
54,1036.89999999999,-7.84301702299221
