"Sweep (n)","Peak x (s)","Peak y (mV)"
1,402.1,23.9868147084509
2,356.65,25.2075177470489
3,473.05,20.0805649849373
4,518.2,15.0756825266854
5,455.4,9.97924734053873
6,470.1,4.21142548316313
7,352.15,22.5524886380982
8,638.05,17.3645007240567
9,522.35,26.1230450259974
10,398.25,26.977537153016
11,330.2,26.2756329058222
12,481.1,27.4963359444202
13,341.85,26.0925274500324
14,421.199999999999,21.1791977196755
15,478.1,15.8691395017741
16,399,23.5290510689766
17,401.849999999999,17.761229211601
18,452.049999999999,25.0244122912592
19,332.300000000001,27.0385723049459
20,427.5,27.8930644319645
21,495,29.1442850465275
22,537.85,27.5573710963501
23,647.599999999999,24.2614728921354
24,476.200000000001,25.3601056268736
25,439.75,24.6887189556447
26,274.25,18.0053698193206
27,305.450000000001,9.00268490966032
28,396.199999999997,15.5334461661597
29,450.050000000003,19.9584946810775
30,426.449999999997,22.1557601505539
31,622.549999999999,25.3601056268736
32,534.399999999998,27.7099589761748
