"Sweep (n)","Peak x (s)","Peak y (mV)"
1,191.45,34.0881323528494
2,189.9,35.0036596317979
3,139.7,34.1186499288144
4,134.2,35.3088353914474
5,122.6,34.362790536534
6,148.3,34.8205541760082
7,181.45,34.332272960569
8,162.5,35.0646947837278
9,144.1,35.4614232712722
10,140.2,34.4543432644288
11,141.400000000001,34.1491675047793
12,110.1,35.6445287270619
13,119.6,35.7665990309217
14,158.35,35.0952123596928
15,183.8,35.7055638789918
16,142.349999999999,36.3769505502207
17,155.799999999999,34.942624479868
18,134.6,35.4919408472371
19,146.949999999999,36.4685032781155
20,122.099999999999,34.7900366000433
21,147.200000000001,35.4003881193423
22,196.199999999999,36.4990208540805
23,139.35,35.9191869107464
24,159.650000000001,37.4450657089939
25,127.199999999999,36.4990208540805
26,154.799999999999,36.2243626703959
27,181,37.2009251012743
28,168.400000000001,36.8347141896949
29,136.700000000001,36.3464329742557
30,115.450000000001,35.4309056953072
31,144.050000000001,35.7971166068866
32,167.300000000001,36.7126438858351
33,175.450000000001,35.9802220626763
34,162.9,35.7665990309217
35,174.9,36.2853978223258
36,178.75,36.0107396386413
37,154.599999999999,36.1328099425011
38,165.049999999999,36.8652317656599
39,215.700000000001,36.5295384300454
40,156.599999999999,36.4074681261856
41,189.149999999998,36.5295384300454
42,212.350000000002,36.8652317656599
43,173.200000000001,36.6821263098702
44,204.599999999999,36.4074681261856
45,160.049999999999,35.7665990309217
46,150.450000000001,35.7971166068866
47,197.25,36.9567844935547
48,188.550000000003,36.0717747905712
49,200.75,36.0107396386413
50,159.350000000002,35.5224584232021
51,179.700000000001,35.7665990309217
52,194.849999999999,36.1328099425011
