"Sweep (n)","Peak x (s)","Peak y (mV)"
1,187.6,46.3867154667244
2,174.15,47.2717251697079
3,152.65,46.6613736504089
4,180.6,45.3491178839161
5,175.25,45.5932584916357
6,168.75,46.8139615302337
7,167.9,47.1191372898832
8,135.15,47.3632778976028
9,151.25,46.9360318340935
10,147.65,46.6613736504089
11,160.3,46.5087857705842
12,148.35,46.600338498479
13,138.9,46.3561978907594
14,148.150000000001,46.1730924349697
15,155.25,46.4782681946192
16,149.7,46.2646451628646
17,125.650000000001,46.2341275868996
18,150.15,45.5017057637408
19,126.35,45.0744597002315
20,158.549999999999,44.9523893963717
21,98.1500000000005,44.3420378770727
22,131.55,44.0063445414582
23,97.6499999999996,43.6706512058438
24,121.5,44.2504851491778
25,110.799999999999,43.1518524144396
26,123.700000000001,43.548580901984
27,126.200000000001,43.6096160539139
28,97.0999999999985,42.938229382685
29,106.35,42.8466766547901
30,86,42.4499481672458
31,114.450000000001,43.0908172625097
32,107.699999999999,43.2128875663695
33,113.550000000001,42.4804657432107
34,128.75,42.2058075595262
35,97.7999999999993,40.4357881535591
36,85.3999999999996,40.8935517930333
37,77.0499999999993,39.0624972351363
38,109.450000000001,43.3349578702293
39,132,42.5415008951406
40,112.200000000001,40.1611299698745
41,86.5500000000011,35.5224584232021
42,62,33.0810523460061
43,117,38.4826632918022
44,84.1000000000004,41.5649384642622
45,97.1499999999996,39.0624972351363
46,92.5,37.1093723733795
47,77.4499999999989,36.5600560060104
48,97.5,18.2800280030052
49,92.3500000000004,26.3061504817871
50,96.8999999999996,24.4140607719602
51,74.1000000000004,33.9660620489896
52,95.25,37.5671360128537
53,89.4499999999989,40.4052705775941
54,81.1999999999989,37.5671360128537
55,77.6000000000004,24.1394025882756
56,101.600000000002,23.0712874295024
57,101.200000000001,21.5454086312549
58,67.5999999999985,35.0646947837278
59,94,26.7639141212614
60,84.4499999999971,40.5883760333838
61,90,34.6679662961835
62,71.8999999999978,33.3557105296906
63,137.299999999999,19.012449826164
64,89.6000000000022,14.2211903996668
65,108.700000000001,17.4560534519515
66,149.049999999999,9.24682551737992
67,81.9000000000015,27.61840624828
68,97.5,24.5666486517849
69,119.25,26.6113262414366
70,65.7999999999993,34.2407202326742
71,117.400000000001,21.6674789351147
72,135.5,12.7868643293141
73,150,19.2260728579186
74,498.75,27.3742656405604
75,69.8499999999985,40.2526826977694
76,103.900000000001,28.3203104954738
77,130.450000000001,21.45385590336
78,145.950000000001,16.6931140528278
79,159.899999999998,12.0544425061553
80,94.3999999999978,24.2004377402055
81,86.4000000000015,35.0952123596928
82,85.0499999999993,32.3181129468823
83,141.049999999999,17.4255358759866
84,163.600000000002,9.76562430878408
85,258.150000000001,2.99072244456512
86,139.049999999999,17.5170886038814
