"Sweep (n)","RR (ms)"
1,NA
2,3902.5
3,3798.95
4,3793.1
5,3311.4
6,3490.85
7,3439.45
8,3343.2
9,3525.35
10,3333.25
11,3347.6
12,3162.55
13,3268.5
14,3062.45
15,3409.15
16,2981.35
17,3132.35
18,3076.65
19,2952.65
20,2700.3
21,2490.7
22,2358.8
23,2223.14999999999
24,2259.45
25,2136.60000000001
26,2104.14999999999
27,2103.15000000001
28,2024.34999999999
29,4084
30,2139.25
31,2225.35000000001
32,2204.79999999999
33,2120.45000000001
34,2210.34999999999
35,2271.85000000001
36,2339.5
37,2413.14999999999
38,2286.95
39,2245.75
40,2403
41,2193.10000000001
42,2195.64999999999
43,2334.8
44,2313.05
45,2274.84999999999
46,2198.75
47,2091.45000000001
48,2083.64999999999
49,2110.75
50,2020.35000000001
51,1963.64999999999
52,1848.20000000001
53,1922.44999999998
54,1815.45000000001
55,1819.64999999999
56,1883.29999999999
