"Sweep (n)","RR (ms)"
1,NA
2,492.85
3,470.45
4,453.9
5,441.35
6,427.25
7,445.7
8,460.3
9,450.25
10,428.65
11,428.099999999999
12,446.900000000001
13,416.15
14,421.75
15,439.5
16,468
17,444.9
18,433.4
19,415.950000000001
20,441.449999999999
21,427.5
22,457.400000000001
23,482.449999999999
24,443.050000000001
25,483.5
26,460.499999999998
27,477.950000000001
28,492.15
29,477.300000000001
30,448.799999999999
31,416.700000000001
32,439.15
33,455.85
34,474.15
35,453.449999999999
36,468.9
37,471.5
38,442.950000000001
39,491.849999999999
40,500.100000000002
41,481.049999999999
42,486.549999999999
43,510.850000000002
44,505.549999999999
45,521.649999999998
46,465.400000000001
47,484.950000000001
48,533.599999999999
49,506.650000000001
50,508.099999999999
51,493.900000000001
52,509.099999999999
53,528.849999999999
54,551.100000000002
