"Sweep (n)","RR (ms)"
1,NA
2,334.35
3,362.8
4,348.8
5,370.5
6,354.95
7,352
8,355.45
9,327
10,337.25
11,342.85
12,343.3
13,340.25
14,331.5
15,337.150000000001
16,326.549999999999
17,333.6
18,315.05
19,327.099999999999
20,309.05
21,333.65
22,287.900000000001
23,318.3
24,284.099999999999
25,309.35
26,286.199999999999
27,300.400000000001
28,308.4
29,303.949999999999
30,283.900000000001
31,276.299999999999
32,325.35
33,303.549999999999
34,291.950000000001
35,301.25
36,278.799999999999
37,261.9
38,260.1
39,311.35
40,303.5
41,277.4
42,266.35
43,242.799999999999
44,270.550000000001
45,257.549999999999
46,273.299999999999
47,253.450000000001
48,239.799999999999
49,275.900000000001
50,242.15
51,240.25
52,214.949999999999
53,241.800000000001
54,255.949999999999
55,244.15
56,246.450000000001
57,248.900000000001
58,236
59,230.199999999997
60,243.900000000001
61,237.599999999999
62,241.400000000001
63,224.549999999999
64,275.5
65,210.600000000002
66,239.849999999999
67,282.5
68,225.650000000001
69,226.849999999999
70,252.099999999999
71,218.650000000001
72,277.700000000001
73,252.450000000001
74,282.599999999999
75,643.849999999999
76,226.950000000001
77,272
78,258.650000000001
79,275.299999999999
80,306.599999999999
81,230.5
82,246.350000000002
83,242.149999999998
84,282.950000000001
85,282.700000000001
86,377.950000000001
87,262.799999999999
88,251.349999999999
