"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,1143.45,7.93456975085819
2,1099.15,8.54492127015498
3,1014.15,8.54492127015497
4,793.950000000001,7.32421823169464
5,666.549999999999,7.93456975100252
6,650.35,6.7138667121425
7,589.700000000001,6.7138667121425
8,688,6.71386671238675
9,698.049999999999,8.5449212703104
10,608.200000000001,6.71386671238675
11,805.700000000001,7.32421823169464
11,807.350000000002,7.32421823169464
12,329.900000000001,6.10351519307886
13,553.599999999999,6.10351519307891
14,616.25,6.71386671238675
