"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,182.35,16.4794910210881
1,182.9,16.4794910210881
2,180.65,20.1416001368855
3,129.6,15.258787982489
3,129.85,15.258787982489
3,130.05,15.258787982489
4,125.5,27.4658183684802
5,111.8,18.9208970983724
6,138.25,15.2587879825584
7,172.65,12.8173819052325
7,173.15,12.8173819052325
8,154.55,15.2587879825584
9,134.65,20.7519516564681
10,132.1,14.6484364631228
11,133.75,13.4277334245293
12,101.3,14.6484364631228
13,111.35,14.038084943826
14,149.8,14.038084943826
15,175.75,14.038084943826
15,176.3,14.038084943826
16,134.599999999999,14.038084943826
17,146.9,12.2070303859357
18,125.55,12.8173819052325
19,138.699999999999,14.0380849440814
20,111.849999999999,12.8173819054656
21,138.65,12.8173819054656
22,187.949999999999,12.8173819054656
23,130.949999999999,12.2070303861577
24,151.200000000001,13.4277334247735
24,151.75,13.4277334247735
25,117.799999999999,12.2070303861577
26,145.199999999999,12.2070303861577
27,171.200000000001,12.8173819049993
28,159,11.5966788668499
28,159.200000000001,11.5966788668499
29,126.950000000001,12.2070303861577
30,104.950000000001,10.9863273471423
31,134.700000000001,11.5966788668498
32,158.65,11.5966788668499
33,165.75,10.3759758282341
34,151.75,10.3759758282341
34,152.65,10.3759758282341
35,166.25,11.5966788668499
36,167.75,10.3759758282341
37,144.349999999999,10.986327347542
38,155.25,10.3759758282341
39,203.75,10.3759758282341
39,204.049999999999,10.3759758282341
40,145.799999999999,10.986327347542
41,178.649999999998,11.5966788668499
42,202,11.5966788668499
43,162.950000000001,11.5966788668498
44,195.099999999999,10.3759758282341
45,148.049999999999,10.3759758282341
46,140.049999999999,10.3759758282341
47,186.600000000002,10.9863273467426
48,178.75,10.3759758282341
49,189.75,10.3759758282341
49,189.950000000001,10.3759758282341
50,148.100000000002,10.9863273467426
51,167.25,11.5966788668498
51,167.549999999999,11.5966788668498
52,183.150000000001,10.3759758274791
