"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,186.25,157.470691979107
2,173,165.405261730181
3,151.4,166.01561324948
4,178.05,142.822255516097
5,174,151.97752830559
6,167.4,168.457019327445
7,166.25,164.794910211631
8,133.8,175.170886038177
9,149.6,162.963855652241
10,146.05,160.522449575054
11,158.35,153.80858286279
12,146.9,159.912098055757
13,137.55,160.522449575054
14,143.85,147.705067669822
15,153.55,157.47069197857
16,146.599999999999,150.756825266306
17,123.5,151.367176785603
18,146.3,138.54979488037
19,122.5,132.446279689811
20,154.349999999999,129.394522090918
21,92.75,133.666982728427
22,127.099999999999,129.394522093272
23,90.3999999999996,120.239249301466
24,115.9,128.173819052325
25,104.700000000001,102.539055239995
26,117.549999999999,123.291006900193
27,121.25,124.511709938809
28,92.5499999999993,111.083976514035
29,100.4,119.018546265038
30,80.9500000000007,117.187491702851
31,109.300000000001,111.69432802928
32,101.9,111.69432802928
33,106.700000000001,86.6699157417199
34,122.75,88.5009702964239
35,90.7999999999993,56.7626912956334
36,78.2999999999993,75.07323687487
37,69.9499999999989,50.6591761025546
38,103.1,101.318352205109
39,124.949999999999,84.2285096644883
40,104.5,57.9833943342492
41,77.9500000000007,21.3623031757761
42,51.8999999999996,11.5966788668499
43,108.75,29.9072244449984
44,77.5,83.6181581451804
45,89.6499999999996,42.7246063515521
46,83.75,28.0761698881628
47,68.9499999999989,23.1933577336997
48,78.4499999999989,4.8828121544631
49,83.1499999999996,6.10351519307891
50,86.1999999999989,6.71386671238675
50,87.1999999999989,6.71386671238675
51,65.0500000000011,18.9208970978562
52,86.5,24.4140607714273
53,82.0499999999993,47.6074185060152
54,73.0499999999993,26.2451153302391
55,68.1999999999989,6.10351519307887
56,92.2000000000007,5.49316367377099
57,92.75,5.49316367377099
58,57.5999999999985,15.869139502005
59,84.75,7.93456975100252
60,76.3499999999985,48.8281215446309
61,79.0499999999993,12.2070303861577
62,60.7999999999993,10.3759758282341
63,123.25,5.49316367377098
64,67.9500000000007,6.10351519307887
65,95.5499999999993,4.88281215446309
66,143.75,4.2724606351552
67,71.5999999999985,7.93456975100254
68,85.9000000000015,6.10351519263477
69,104.200000000001,6.10351519307886
70,54.75,14.0380849440814
71,105.900000000001,6.10351519307883
72,124.099999999999,4.27246063515522
72,128.449999999997,4.27246063515522
73,137.849999999999,4.8828121544631
74,486.150000000001,6.71386671238675
75,62.5499999999993,39.6728487550126
76,91.9500000000007,7.93456975100252
77,113.899999999998,4.88281215446309
77,116.599999999999,4.88281215446309
78,120.75,4.88281215446307
79,96.4499999999971,4.27246063515526
80,81.3499999999985,6.10351519307887
80,84.5499999999993,6.10351519307887
81,74.5499999999993,12.2070303861577
82,73.6500000000015,8.54492126968869
83,126.700000000001,4.88281215410781
83,174.700000000001,4.88281215410781
84,74.1000000000022,4.27246063515518
85,6.79999999999927,4.27246063515526
86,129.049999999999,4.8828121544631
