"Sweep (n)","APA (mV)"
1,76.7028754303059
2,69.7784374438587
3,67.0776319709606
4,67.462153428119
5,62.3840287875513
6,65.7348586285028
7,64.2394974062202
8,62.5701860009375
9,28.6621073462813
10,25.430296051593
11,33.7005591380945
12,20.2301011071655
13,35.3729223009738
14,36.6699192794842
15,32.0983863999347
16,30.7281472391084
17,33.6151099253927
18,39.227292145347
19,33.3190894385327
20,31.5246559717936
21,31.2133766969511
22,31.2286354849336
23,30.8807351189331
24,41.6656464649466
25,35.0280736925699
26,32.0861793695487
27,39.9169893621549
28,40.5456514270329
29,29.2236307440363
30,29.1992166832644
31,38.2415744416791
32,47.5097622622345
33,44.769283940582
34,42.2363251354911
35,55.484004861876
36,40.9179658538053
37,46.5728726801106
38,45.3124967927581
39,57.8002888776158
40,50.7202112537473
41,53.4912071513648
42,56.2805135945612
43,53.9123496996811
44,57.4462849964223
45,54.8706015849805
46,50.9124719823265
47,57.7545125136683
48,56.6528280213336
49,54.4128379455063
50,53.1982384221013
51,51.3885461673797
52,47.0764126835322
53,54.0801963674883
54,54.1961631561551
55,50.4730188884312
56,50.8361780424141
57,51.6052209567308
58,48.0163540232527
59,48.2604946309723
60,54.4586143094537
61,55.0720175863492
62,53.659053819172
63,52.0141564746612
64,54.8889121305595
65,47.0642056531463
66,50.6530725866244
67,55.8135946822975
68,55.798335894315
69,54.6783408564013
