"Sweep (n)","Ediast (mV)"
1,-47.253414624129
2,-43.7469451457562
3,-42.7856415028602
4,-42.6513641686144
5,-39.221188630154
6,-41.7785614960169
7,-41.1376924007529
8,-40.170285242664
9,-22.711180033116
10,-23.8433821014156
11,-29.153440319317
12,-23.0987532478708
13,-30.8563210581612
14,-30.9020974221086
15,-27.6733378850169
16,-27.6763896426134
17,-29.8919656576688
18,-31.3842751223548
19,-28.3447245562458
20,-28.0456523117893
21,-27.7343730369468
22,-27.932737280719
23,-27.9815654022629
24,-32.9376197389708
25,-29.0771463794046
26,-28.1494120700701
27,-31.9824196112678
28,-31.6955543971973
29,-25.8361798119269
30,-27.1240215176478
31,-31.1614968178107
32,-35.8825658195885
33,-32.8674293142514
34,-31.6162086996884
35,-37.69225807431
36,-29.5043924429139
37,-33.5113501671119
38,-32.6782203432687
39,-37.7197238926785
40,-33.8439917451298
41,-35.1196264204647
42,-36.7492649769931
43,-34.8998998735171
44,-36.5722630363964
45,-35.9802220626763
46,-33.6700415621296
47,-37.094113585397
48,-36.3586400046417
49,-35.2783178154825
50,-34.338376475762
51,-34.2987036270076
52,-31.878659852987
53,-35.6475804846584
54,-35.7025121213953
55,-33.7188696836735
56,-34.4482397492358
57,-34.0576147768845
58,-32.8491187686724
59,-32.7575660407776
60,-36.0870335785537
61,-35.3881810889563
62,-34.9517797526575
63,-33.9172339274457
64,-35.8764623043955
65,-31.7749000947062
66,-33.8989233818667
67,-35.5804418175355
68,-35.595700605518
69,-34.658811023394
