"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,215,-5.49316367369603
2,169.75,-5.49316367369605
3,178.15,-5.49316367369605
4,160.1,-5.49316367367106
5,176.4,-6.10351519296781
6,372.25,-6.10351519302332
7,357.9,-5.49316367367103
8,178.95,-6.10351519302336
9,79.75,-5.49316367367106
10,3.29999999999927,-5.49316367377095
11,101.45,-5.49316367367105
12,135.5,-4.88281215437432
13,118.95,-4.2724606351552
14,129.400000000001,-4.88281215437427
15,115.2,-4.88281215437428
16,113.4,-5.49316367367107
17,42.5,-4.88281215437432
18,107.7,-4.88281215437428
19,133.55,-4.88281215437427
20,106.9,-6.10351519296784
21,266.2,-5.49316367367103
22,228.400000000001,-4.88281215437432
23,237.95,-4.88281215446307
24,148.65,-6.71386671226461
25,203.700000000001,-6.10351519285679
26,87.75,-4.27246063515518
27,211.25,-5.49316367377095
28,129.200000000001,-4.88281215446309
29,96,-4.88281215428546
30,158.15,-4.27246063515526
31,405.85,-1222.5340931737
32,147.85,-5.49316367357114
33,155.599999999999,-4.8828121544631
34,174.349999999999,-5.49316367377098
35,164.4,-5.49316367357115
36,151.349999999999,-6.71386671238675
37,146.450000000001,-4.88281215446312
38,178.400000000001,-5.49316367357113
39,184.9,-5.49316367377098
40,82,-6.10351519285679
41,189.5,-4.88281215446314
42,162.549999999999,-4.8828121544631
43,193.4,-6.71386671238675
44,181.450000000001,-6.10351519285679
45,180.4,-4.88281215446312
46,178.5,-5.49316367377102
47,211.049999999999,-5.49316367377097
48,185.799999999999,-5.49316367377099
49,203.049999999999,-5.49316367377095
50,176.950000000001,-6.10351519307883
51,159.899999999998,-6.10351519307891
52,146.850000000002,-4.8828121544631
53,71.25,-5.49316367337141
54,10.8999999999978,-5.49316367377109
55,173.549999999999,-5.493163673771
56,219.450000000001,-5.49316367337127
57,68.0499999999993,-4.88281215446321
58,165.799999999999,-5.49316367377098
59,174.400000000001,-4.8828121544631
60,238.299999999999,-5.49316367377102
61,180.700000000001,-4.88281215446309
62,205.25,-4.8828121544631
63,150.5,-6.10351519307887
64,158.050000000003,-5.4931636733713
65,268.650000000001,-4.88281215446307
66,246.5,-5.49316367377095
67,200.849999999999,-6.71386671238675
68,186.099999999999,-4.88281215446309
69,192.700000000001,-5.49316367377099
