"Sweep (n)","RR (ms)"
1,NA
2,475.7
3,449.8
4,426.45
5,451.95
6,447.9
7,443.55
8,404.25
9,409.85
10,157.5
11,271.1
12,274.25
13,233.299999999999
14,290.1
15,290.1
16,289.999999999999
17,278
18,270.1
19,288.95
20,290.25
21,253.95
22,247.700000000001
23,281.349999999999
24,305.15
25,320.8
26,275.650000000001
27,260.4
28,284.950000000001
29,275.15
30,261
31,283.949999999999
32,293.650000000001
33,596.349999999999
34,291.35
35,353.75
36,361.299999999999
37,313.700000000001
38,346.799999999999
39,351.400000000001
40,402.599999999999
41,366.950000000001
42,396.35
43,393.199999999999
44,384.700000000001
45,402
46,372.199999999999
47,358.400000000001
48,414.349999999999
49,386.350000000002
50,371.599999999999
51,388.049999999999
52,339.75
53,353.75
54,380.549999999999
55,372.200000000001
56,348.049999999999
57,361.450000000001
58,361.5
59,326.150000000001
60,384.700000000001
61,377.25
62,373.75
63,369.149999999998
64,369
65,359.450000000001
66,316.299999999999
67,390.150000000001
68,404.899999999998
69,391.650000000001
70,389.75
71,391.450000000001
