"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,194.9,15.2587879824543
2,149.25,14.0380849438898
3,156.7,11.5966788666916
4,141.95,13.4277334246514
5,166.4,10.3759758280454
6,163.2,10.9863273473421
7,146.9,10.9863273473421
8,167,10.986327347442
9,70.6500000000001,5.49316367367105
10,75.6499999999996,4.88281215437427
11,91.4499999999998,6.10351519296784
12,161.25,5.49316367367103
13,110.1,4.88281215437428
14,114.85,4.88281215437429
15,109.15,4.27246063515519
16,100.549999999999,4.27246063515521
17,5.40000000000055,4.27246063507754
18,94.5999999999995,5.49316367377097
19,121.25,4.88281215446309
20,92.9499999999998,5.49316367367103
21,98.3499999999995,4.88281215437427
22,91.4500000000007,4.88281215437427
23,114.7,5.49316367377097
24,140.349999999999,5.49316367377098
25,115.65,4.88281215446309
26,99.5,4.88281215446312
27,105.65,4.88281215446314
28,120.650000000001,5.49316367357115
29,86.8999999999996,4.88281215446309
30,84.6499999999996,4.88281215446307
30,263.15,4.88281215446307
31,405.75,4.88281215446307
32,136.1,6.7138667121425
33,147.199999999999,6.10351519307887
33,148.199999999999,6.10351519307887
34,152.349999999999,4.8828121544631
35,156.4,7.32421823142817
36,140.699999999999,6.10351519307887
37,138.150000000001,6.7138667121425
38,167.25,5.49316367377098
38,168.25,5.49316367377098
39,166.049999999999,7.32421823169464
40,148.299999999999,6.71386671238676
41,178.650000000001,7.93456975071387
42,140.65,7.93456975071386
43,178.9,6.71386671238675
43,179.15,6.71386671238675
44,173.799999999999,7.93456975100253
45,158.949999999999,7.93456975100253
46,141.75,7.93456975100254
47,196.65,7.93456975100252
48,169,7.93456975042519
49,145.200000000001,7.32421823169464
49,146.450000000001,7.32421823169464
50,153.5,7.32421823169464
51,120.649999999998,7.32421823169465
52,119.75,5.49316367377099
52,122.850000000002,5.49316367377099
52,123.75,5.49316367377099
52,124.5,5.49316367377099
53,178.149999999998,6.71386671238677
54,136.75,7.32421823116173
55,154.149999999998,7.32421823169465
56,148.649999999998,7.32421823169463
57,163.799999999999,7.32421823169464
58,151.799999999999,6.71386671238677
59,159.850000000002,6.71386671189822
60,177.599999999999,7.32421823169464
61,159.5,7.93456975100254
62,179.25,6.71386671238675
62,179.450000000001,6.71386671238675
63,139.450000000001,7.32421823169464
64,138.650000000001,7.32421823169464
65,122.850000000002,6.10351519307885
66,161.349999999999,6.71386671238675
67,166.450000000001,8.54492126968868
68,169.149999999998,7.93456975100252
69,179.25,9.15527278961831
