"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 10",26,21.7285145929509,587.7
1,"APD 30",56.5,4.76074196137689,618.2
1,"APD 50",79.85,-12.2680658235481,641.55
1,"APD 70",101.05,-29.1748033017712,662.75
1,"APD 90",132.5,-46.2646462400472,694.2
2,"APD 10",24.8,23.7426746535335,1018.75
2,"APD 30",56.4499999999999,7.20214809541632,1050.4
2,"APD 50",79.0500000000001,-9.4604487694028,1073
2,"APD 70",99.4999999999999,-26.1230456342219,1093.45
2,"APD 90",125.8,-42.785642499041,1119.75
3,"APD 10",21.55,20.9960927527391,1323.85
3,"APD 30",50,4.57763650132393,1352.3
3,"APD 50",73.3499999999999,-11.8408197500912,1375.65
3,"APD 70",99.8,-28.0761705414535,1402.1
3,"APD 90",143.55,-44.4335916395176,1445.85
4,"APD 10",29.2,27.3437487012416,2035.35
4,"APD 30",65.05,10.1928706096146,2071.2
4,"APD 50",89.1499999999999,-7.01904263536336,2095.3
4,"APD 70",110.15,-24.1699207269904,2116.3
4,"APD 90",131.7,-41.3818339719684,2137.85
5,"APD 10",30.0500000000002,26.9165026277847,2469.2
5,"APD 30",70.6000000000004,8.66699177583998,2509.75
5,"APD 50",96.8500000000004,-9.76562453615772,2536
5,"APD 70",119.95,-28.0151353881025,2559.1
5,"APD 90",150.3,-46.3256813933982,2589.45
6,"APD 10",33.4000000000001,27.6489244679966,3282.85
6,"APD 30",76.1999999999998,9.21630815599885,3325.65
6,"APD 50",101.7,-9.33837846270082,3351.15
6,"APD 70",124.5,-27.8320299280495,3373.95
6,"APD 90",153.15,-46.4477517001002,3402.6
7,"APD 10",29.5,27.4047838545926,3751.7
7,"APD 30",71.1999999999998,8.85009723589294,3793.4
7,"APD 50",97.8499999999999,-9.70458938280674,3820.05
7,"APD 70",120.3,-28.3813463082084,3842.5
7,"APD 90",150.45,-46.8139626202061,3872.65
8,"APD 10",29.9499999999998,28.3813463082084,4198.45
8,"APD 30",71.7999999999993,10.0097651495617,4240.3
8,"APD 50",97.7999999999993,-8.1787105490321,4266.3
8,"APD 70",121.049999999999,-26.3671862476259,4289.55
8,"APD 90",148.799999999999,-44.7387674062726,4317.3
9,"APD 10",27.8000000000002,26.6723620143808,4614
9,"APD 30",66.5500000000002,8.36181600908505,4652.75
9,"APD 50",91.1499999999996,-9.82665968950871,4677.35
9,"APD 70",115.05,-28.1372056948044,4701.25
9,"APD 90",147.4,-46.3256813933982,4733.6
10,"APD 10",30.6499999999996,25.2685534873081,5091.65
10,"APD 30",66.5999999999995,7.75146447557519,5127.6
10,"APD 50",90.0999999999995,-9.70458938280674,5151.1
10,"APD 70",111.4,-27.0996080878377,5172.4
