"Sweep (n)","Ediast (mV)"
1,-55.1086399606051
2,-56.6833469170605
3,-55.5419895493971
4,-56.0119602301996
5,-55.1452610526157
6,-55.5908176720778
7,-55.6335422794235
8,-55.2551243286474
9,-54.1442845376595
10,-54.5349095191058
11,-53.5339330041496
12,-53.3203099674212
13,-53.9489720469363
14,-52.4047826671564
15,-52.6061986732146
16,-53.5461400348198
17,-53.0334447466715
18,-53.5278294888145
19,-53.2836888754106
20,-53.2226537220596
21,-52.5939916425444
22,-53.1311009920331
23,-53.4667943354635
24,-53.2348607527298
25,-53.186032630049
26,-53.4851048814688
27,-53.6682103415218
28,-53.1738255993788
29,-53.124997476698
30,-53.0578588080119
31,-53.9794896236118
32,-53.7719701022185
33,-53.6865208875271
34,-52.7221654645815
35,-52.3071264217948
36,-52.8930638939643
37,-53.369138090102
38,-53.4606908201284
39,-53.4851048814688
40,-52.9663060779855
41,-52.6000951578795
42,-52.6061986732146
43,-52.874753347959
44,-53.3569310594318
45,-53.6682103415218
46,-53.3325169980914
47,-53.5156224581443
48,-53.6071751881708
49,-52.6733373419007
50,-52.4108861824915
51,-52.7954076486027
52,-53.3752416054371
53,-53.6071751881708
54,-53.9855931389469
55,-53.9611790776065
56,-54.2480442983562
57,-54.0222142309575
58,-55.2551243286474
59,-55.72509500945
60,-55.2062962059666
61,-53.7353490102079
62,-53.5156224581443
63,-54.4189427277389
64,-54.4738743657548
65,-54.425046243074
66,-54.9438450465574
67,-54.3212864823773
68,-55.1391575372806
69,-55.4077122120249
70,-55.6457493100937
