"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,47.85,-9.76562453616658
2,18.1,-9.76562453616658
3,240.2,-9.76562453616658
4,235.7,-10.9863276031875
5,339.7,-12.2070306702637
6,118.4,-10.9863276032374
7,69.1500000000001,-12.2070306701527
8,77.3499999999999,-9.76562453612217
9,339.4,-12.2070306701527
10,8.79999999999927,-8.54492146926233
11,96.3999999999996,-12.2070306703748
12,354.3,-8.54492146910697
13,12.8999999999996,-8.54492146926233
14,364.450000000001,-9.76562453612217
15,7.44999999999982,-9.76562453629981
16,325.7,-10.9863276031374
17,86.3000000000002,-10.9863276031374
18,264.15,-10.9863276031375
19,342,-8.54492146926235
20,106.150000000001,-10.9863276029376
21,101.15,-9.76562453629981
22,256.1,-9.76562453629981
23,386.950000000001,-12.2070306703748
24,326.949999999999,-8.54492146926241
25,311.25,-12.2070306699307
26,228.349999999999,-9.76562453629981
27,166.85,-8.54492146926248
28,354.5,-12.2070306703748
29,19.1499999999996,-9.76562453629981
30,295.699999999999,-10.9863276033373
31,115.450000000001,-9.76562453630009
32,10.3000000000011,-9.76562453594454
33,239.200000000001,-9.76562453629988
34,526.65,-10.9863276033373
35,389.65,-9.76562453629983
36,429.300000000001,-10.9863276029376
37,353.800000000001,-14.6484368044498
38,290.550000000003,-10.9863276025379
39,153.549999999999,-9.76562453629995
40,459.049999999999,-8.54492146926241
41,248.349999999999,-9.76562453629981
42,422.450000000001,-10.9863276033373
43,83.7000000000007,-12.2070306703748
44,154.799999999999,-9.76562453629981
45,0.950000000000728,-9.76562453629981
46,383.099999999999,-12.2070306703748
47,188.400000000001,-9.76562453629981
48,368.700000000001,-9.76562453629984
49,380.399999999998,-9.76562453629988
50,505.399999999998,-10.9863276033373
51,488.25,-12.2070306703748
52,460.650000000001,-13.4277337374123
