"Sweep (n)","Peak x (s)","Peak y (mV)"
1,203.5,39.3676739113858
2,203.1,39.9169902915447
3,189.85,40.1611309049486
4,202.75,40.5273418250545
5,220.35,40.0390605982467
6,195.55,39.9780254448957
7,180.25,39.3676739113858
8,195.45,39.9780254448957
9,213.7,40.2221660582996
10,192.2,40.0390605982467
11,187.55,39.7338848314917
12,235.95,39.4897442180878
13,229,40.2832012116506
14,213.8,38.757322377876
15,169.55,38.696287224525
16,190.75,39.3066387580348
17,191.8,40.9545878985114
18,227.65,39.6728496781408
19,248.75,39.5507793714388
20,239.1,40.1000957515976
21,222.700000000001,41.1376933585644
22,207.800000000001,39.6728496781408
23,209.450000000001,40.1611309049486
24,248.449999999999,40.2221660582996
25,245.799999999999,39.7949199848427
26,208.5,40.6494121317565
27,240.400000000001,40.7104472851075
28,193.450000000001,40.7104472851075
29,226.550000000001,39.5507793714388
30,256.049999999999,39.5507793714388
31,211.550000000001,40.4663066717036
32,248.300000000001,40.4663066717036
33,204,40.2832012116506
34,268.15,40.8935527451605
35,267.65,38.2080059977171
36,242.550000000001,36.1938459371346
37,247.35,37.3535138508033
38,241.600000000002,38.3300763044191
39,273.199999999997,40.2832012116506
40,330.099999999999,39.9169902915447
41,298,39.4897442180878
42,272.700000000001,40.8325175918095
43,339.799999999999,39.6118145247898
44,272.850000000002,40.0390605982467
45,256.349999999999,40.5273418250545
46,269.700000000001,40.5273418250545
47,268.25,40.2832012116506
48,265.200000000001,39.1235332979819
49,286.75,39.4897442180878
50,275.599999999999,40.3442363650016
51,250.650000000001,40.2221660582996
52,295.400000000001,40.8325175918095
