"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,197.75,18.3105460053124
2,197.1,17.0898429382916
3,184.3,15.8691398712707
3,184.4,15.8691398712707
4,195.5,17.0898429382916
5,214.8,17.0898429382138
6,189.05,17.0898429383693
7,174.35,17.0898429383693
8,190,19.5312490722444
9,208.25,17.0898429382138
10,186.9,18.3105460052291
11,181.5,17.0898429382138
12,229.45,17.0898429385247
13,222.599999999999,18.3105460055622
13,223.099999999999,18.3105460055622
14,207.950000000001,19.5312490722444
15,164.2,17.0898429385247
16,185.349999999999,15.8691398714873
16,185.599999999999,15.8691398714873
17,184.950000000001,17.0898429382138
18,221.45,15.8691398711986
18,221.95,15.8691398711986
19,242.75,15.8691398711986
20,233.1,17.0898429385247
21,216.35,15.8691398709099
22,200.650000000001,15.8691398709099
23,202.150000000001,17.089842937903
24,242.049999999999,15.8691398714873
25,239.75,14.6484368039168
26,202.199999999999,15.8691398714872
26,202.449999999999,15.8691398714872
27,234.200000000001,15.8691398714872
28,185.75,18.3105460055621
29,219.300000000001,17.089842937903
30,249.599999999999,15.8691398714872
31,204.6,14.6484368044498
32,241.75,14.6484368044498
33,197.050000000001,19.5312490718891
34,258.9,15.8691398714872
35,261.049999999999,13.4277337374123
36,232.6,12.2070306703748
36,233.1,12.2070306703748
37,237.000000000002,14.6484368033839
37,238.250000000002,14.6484368033839
38,234.25,14.6484368044498
39,264.649999999998,14.6484368044498
40,323,15.8691398703326
41,291.199999999997,14.6484368044497
42,265.650000000001,14.6484368044498
43,332.549999999999,18.3105460055622
44,272.850000000002,14.6484368033839
45,247.150000000001,14.6484368033839
46,263,15.8691398714873
47,262.75,14.6484368044498
48,257.200000000001,15.8691398714872
49,280.649999999998,15.8691398714872
50,269.399999999998,14.6484368044497
51,244.25,15.8691398714872
52,288.900000000001,15.8691398714872
