"Sweep (n)","APA (mV)"
1,106.085200039348
2,105.364985229807
3,105.194086800424
4,104.986567279031
5,104.205317316138
6,104.187006770133
7,104.33959465351
8,102.435297868959
9,102.191157255555
10,104.461664960212
11,102.429194353624
12,101.922602580811
13,102.374262715608
14,102.453608414965
15,101.818842820114
16,103.222651347187
17,100.769038182478
18,100.531001084409
19,101.147456133254
20,102.716059574374
21,102.258295924242
22,103.662104451314
23,100.964350673201
24,100.60424326843
25,99.4323683240909
26,99.6704054221598
27,100.00609876559
28,99.1210890420009
29,101.184077225264
30,96.7956496993283
31,100.543208115079
32,100.598139753095
33,102.056879918183
34,101.055903403227
35,99.6704054221598
36,99.5727491767982
37,99.9755811889147
38,99.1760206800168
39,100.097651495617
40,98.6694289072036
41,99.6276808148141
42,101.55028814537
43,101.434321354003
44,100.463862415723
45,99.9877882195849
46,100.451655385052
47,99.5727491767982
48,97.2473098341256
49,99.1027784959956
50,97.8027297296196
51,99.2919874713837
52,97.9675246436673
53,98.4313918091348
54,99.4445753547611
55,98.1140090117096
56,101.055903403227
57,98.6450148458632
58,100.872797943174
59,100.323481563015
60,99.8657179128829
61,99.560542146128
62,99.0844679499903
63,99.5422316001227
64,99.6643019068247
65,100.097651495617
