"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
1,"APD 10",28.55,32.3486312760225,513.7
1,"APD 30",74.9499999999999,11.5966791366873,560.1
1,"APD 50",101.75,-9.09423784929688,586.9
1,"APD 70",122.55,-29.7851548352811,607.7
1,"APD 90",147.15,-50.5981421279672,632.3
2,"APD 10",30.4,32.2265609693205,894.6
2,"APD 30",76.6,11.5966791366873,940.8
2,"APD 50",101.95,-9.09423784929688,966.15
2,"APD 70",121.9,-29.7851548352811,986.1
2,"APD 90",145.25,-50.5371069746162,1009.45
3,"APD 10",30.05,32.4096664293734,1270.85
3,"APD 30",76.7,11.7187494433893,1317.5
3,"APD 50",103.9,-9.09423784929688,1344.7
3,"APD 70",124.85,-29.7241196819301,1365.65
3,"APD 90",148.9,-50.4150366679143,1389.7
4,"APD 10",31.3499999999999,32.1044906626185,1664.7
4,"APD 30",79.3,11.4746088299853,1712.65
4,"APD 50",107.1,-9.03320269594589,1740.45
4,"APD 70",128.5,-29.7241196819301,1761.85
4,"APD 90",151.95,-50.3540015145633,1785.3
5,"APD 10",29.25,32.4096664293734,2070.6
5,"APD 30",77.5,11.7797845967403,2118.85
5,"APD 50",103.15,-8.97216754259491,2144.5
5,"APD 70",124.35,-29.7241196819301,2165.7
5,"APD 90",147.9,-50.3540015145633,2189.25
6,"APD 10",36.5500000000002,32.9589828095323,2463.6
6,"APD 30",84.8499999999999,12.1459955168462,2511.9
6,"APD 50",112,-8.66699177583998,2539.05
6,"APD 70",132.6,-29.4799790685261,2559.65
6,"APD 90",156.4,-50.4150366679143,2583.45
7,"APD 10",31.3000000000002,32.4707015827244,2858.7
7,"APD 30",80.4000000000001,11.7797845967403,2907.8
7,"APD 50",106.2,-8.85009723589294,2933.6
7,"APD 70",126.25,-29.6020493752281,2953.65
7,"APD 90",150.25,-50.2929663612123,2977.65
8,"APD 10",38.0499999999997,32.4096664293734,3253.4
8,"APD 30",89.6499999999996,11.6577142900383,3305
8,"APD 50",116.5,-8.91113238924392,3331.85
8,"APD 70",136.75,-29.5410142218771,3352.1
8,"APD 90",160.9,-50.1708960545103,3376.25
9,"APD 10",36.4499999999998,32.6538070427774,3648
9,"APD 30",85.6500000000001,11.9628900567932,3697.2
9,"APD 50",113.4,-8.72802692919097,3724.95
9,"APD 70",134.55,-29.5410142218771,3746.1
9,"APD 90",158.1,-50.3540015145633,3769.65
10,"APD 10",34.1500000000001,32.4096664293734,4040.9
10,"APD 30",80.25,11.7797845967403,4087
10,"APD 50",107.55,-8.91113238924392,4114.3
10,"APD 70",128.2,-29.6020493752281,4134.95
10,"APD 90",151.75,-50.2319312078613,4158.5
11,"APD 10",33,32.5317367360754,4424.85
11,"APD 30",81.75,11.9628900567932,4473.6
11,"APD 50",107.150000000001,-8.60595662248899,4499
11,"APD 70",128.25,-29.2358384551222,4520.1
11,"APD 90",152,-49.8657202877554,4543.85
12,"APD 10",30.7999999999993,32.3486312760225,4813.8
12,"APD 30",78.5999999999995,11.7797845967403,4861.6
12,"APD 50",106.25,-8.91113238924392,4889.25
12,"APD 70",127.549999999999,-29.4189439151751,4910.55
12,"APD 90",150.95,-50.0488257478083,4933.95
13,"APD 10",35.3500000000004,32.6538070427774,5192.7
13,"APD 30",83.6500000000005,11.9628900567932,5241
13,"APD 50",110.400000000001,-8.85009723589294,5267.75
13,"APD 70",130.8,-29.3579087618242,5288.15
13,"APD 90",154.400000000001,-49.9877905944574,5311.75
14,"APD 10",35.7000000000007,32.0434555092675,5580.95
14,"APD 30",83.5,11.5356439833363,5628.75
14,"APD 50",109.950000000001,-8.97216754259491,5655.2
14,"APD 70",131.35,-29.4189439151751,5676.6
14,"APD 90",155.700000000001,-49.9267554411064,5700.95
15,"APD 10",36.1999999999998,32.0434555092675,5964
15,"APD 30",85.0500000000002,11.5966791366873,6012.85
15,"APD 50",109.900000000001,-8.91113238924392,6037.7
15,"APD 70",130.8,-29.2968736084732,6058.6
15,"APD 90",154.400000000001,-49.8657202877554,6082.2
16,"APD 10",36.3000000000002,32.4707015827244,6344.6
16,"APD 30",83.5500000000002,11.9018549034422,6391.85
16,"APD 50",109.8,-8.60595662248899,6418.1
16,"APD 70",130.650000000001,-29.1748033017712,6438.95
16,"APD 90",155.5,-49.6826148277024,6463.8
17,"APD 10",34.0500000000002,32.3486312760225,6740.8
17,"APD 30",82.75,11.9018549034422,6789.5
17,"APD 50",109.150000000001,-8.60595662248899,6815.9
17,"APD 70",129.900000000001,-28.9306626883673,6836.65
17,"APD 90",154.3,-49.3164039075965,6861.05
18,"APD 10",29.9000000000005,32.3486312760225,7120.95
18,"APD 30",76.4000000000005,11.9018549034422,7167.45
18,"APD 50",103.400000000001,-8.66699177583998,7194.45
18,"APD 70",124,-29.1748033017712,7215.05
18,"APD 90",148.45,-49.6215796743514,7239.5
19,"APD 10",34.2000000000007,31.8603500492146,7499.2
19,"APD 30",84.8000000000002,11.5356439833363,7549.8
19,"APD 50",111.25,-8.72802692919097,7576.25
19,"APD 70",131.35,-29.1137681484202,7596.35
19,"APD 90",155.05,-49.3774390609475,7620.05
20,"APD 10",37.3999999999996,31.8603500492146,7872.8
20,"APD 30",86.0499999999993,11.5356439833363,7921.45
20,"APD 50",113.099999999999,-8.85009723589294,7948.5
20,"APD 70",134.299999999999,-29.3579087618242,7969.7
20,"APD 90",158.299999999999,-49.6215796743514,7993.7
21,"APD 10",38.0499999999993,32.4096664293734,8250.35
21,"APD 30",86.25,11.8408197500912,8298.55
21,"APD 50",112.9,-8.60595662248899,8325.2
21,"APD 70",134.700000000001,-29.0527329950692,8347
21,"APD 90",158.9,-49.6215796743514,8371.2
22,"APD 10",36.8500000000004,31.1889633623537,8632.3
22,"APD 30",84.5,10.9863276031774,8679.95
22,"APD 50",110.6,-9.21630815599885,8706.05
22,"APD 70",131.65,-29.5410142218771,8727.1
22,"APD 90",156.800000000001,-49.6826148277024,8752.25
23,"APD 10",36.7000000000007,33.1420882695853,9001.9
23,"APD 30",86.9500000000007,12.5732415903031,9052.15
23,"APD 50",114.25,-7.93456993562815,9079.45
23,"APD 70",134.550000000001,-28.6254869216123,9099.75
23,"APD 90",158.6,-49.0112281408416,9123.8
24,"APD 10",37.5499999999993,31.7993148958636,9383.7
24,"APD 30",86.3999999999996,11.6577142900383,9432.55
24,"APD 50",112.6,-8.60595662248899,9458.75
24,"APD 70",134,-28.9916978417182,9480.15
24,"APD 90",157.25,-49.1943336008945,9503.4
25,"APD 10",36.1999999999989,31.9213852025656,9768.1
25,"APD 30",84.25,11.5356439833363,9816.15
25,"APD 50",112.1,-8.97216754259491,9844
25,"APD 70",133.449999999999,-29.3579087618242,9865.35
25,"APD 90",157.4,-49.6215796743514,9889.3
26,"APD 10",38,32.5317367360754,10141.95
26,"APD 30",89.1499999999996,12.0239252101442,10193.1
26,"APD 50",116.450000000001,-8.36181600908505,10220.4
26,"APD 70",137.75,-28.8085923816653,10241.7
26,"APD 90",161.25,-49.2553687542455,10265.2
27,"APD 10",33.5,31.9213852025656,10523.4
27,"APD 30",80.3500000000004,11.5966791366873,10570.25
27,"APD 50",107.35,-8.72802692919097,10597.25
27,"APD 70",128.6,-29.1137681484202,10618.5
27,"APD 90",153.049999999999,-49.3164039075965,10642.95
28,"APD 10",38.4000000000015,32.1655258159695,10905.75
28,"APD 30",86.3000000000011,11.9018549034422,10953.65
28,"APD 50",113.700000000001,-8.54492146913801,10981.05
28,"APD 70",135,-28.9916978417182,11002.35
28,"APD 90",158.550000000001,-49.1943336008945,11025.9
29,"APD 10",38.5,32.4096664293734,11284.65
29,"APD 30",87.75,12.0239252101442,11333.9
29,"APD 50",115.599999999999,-8.23974570238308,11361.75
29,"APD 70",135.949999999999,-28.6254869216123,11382.1
29,"APD 90",159.099999999999,-48.9501929874906,11405.25
30,"APD 10",41.5500000000011,31.9824203559165,11660.55
30,"APD 30",90.1000000000004,11.7797845967403,11709.1
30,"APD 50",117.050000000001,-8.60595662248899,11736.05
30,"APD 70",138,-28.8085923816653,11757
30,"APD 90",162.050000000001,-49.0722632941926,11781.05
31,"APD 10",37.0499999999993,32.4707015827244,12043.2
31,"APD 30",87.1999999999989,12.0849603634952,12093.35
31,"APD 50",115.9,-8.23974570238308,12122.05
31,"APD 70",136.4,-28.6865220749633,12142.55
31,"APD 90",159.949999999999,-48.9501929874906,12166.1
32,"APD 10",40.9500000000007,32.0434555092675,12432.2
32,"APD 30",92.4000000000015,11.7187494433893,12483.65
32,"APD 50",120,-8.60595662248899,12511.25
32,"APD 70",141,-28.9306626883673,12532.25
32,"APD 90",165.35,-49.1943336008945,12556.6
33,"APD 10",39.1499999999996,32.8369125028304,12818.85
33,"APD 30",86.2000000000007,12.2680658235481,12865.9
33,"APD 50",114.1,-8.05664024233012,12893.8
33,"APD 70",135.1,-28.5644517682613,12914.8
33,"APD 90",159.049999999999,-49.0722632941926,12938.75
34,"APD 10",42.1000000000004,31.6772445891616,13199.9
34,"APD 30",91.2999999999993,11.4746088299853,13249.1
34,"APD 50",117.5,-8.78906208254195,13275.3
34,"APD 70",138.85,-29.1137681484202,13296.65
34,"APD 90",162.85,-49.3774390609475,13320.65
35,"APD 10",41.7000000000007,32.4707015827244,13588.2
35,"APD 30",91.5500000000011,12.2070306701972,13638.05
35,"APD 50",119.950000000001,-8.05664024233012,13666.45
35,"APD 70",140.6,-28.3203111548574,13687.1
35,"APD 90",164.550000000001,-48.5839820673847,13711.05
36,"APD 10",41.8499999999985,32.7758773494794,13978.75
36,"APD 30",93,12.2680658235481,14029.9
36,"APD 50",121.15,-8.1787105490321,14058.05
36,"APD 70",142.199999999999,-28.6254869216123,14079.1
36,"APD 90",166.599999999999,-49.2553687542455,14103.5
37,"APD 10",41.3500000000004,32.7148421961284,14362.2
37,"APD 30",94.3000000000011,12.2680658235481,14415.15
37,"APD 50",120.85,-8.11767539568111,14441.7
37,"APD 70",141.800000000001,-28.5644517682613,14462.65
37,"APD 90",164.9,-49.0112281408416,14485.75
38,"APD 10",47.75,32.8979476561813,14754.3
38,"APD 30",99.6999999999989,12.3901361302501,14806.25
38,"APD 50",127.449999999999,-8.1787105490321,14834
38,"APD 70",148.5,-28.5644517682613,14855.05
38,"APD 90",172.75,-49.1943336008945,14879.3
39,"APD 10",60.4500000000007,34.240721029903,15174.4
39,"APD 30",128,13.3056634305149,15241.95
39,"APD 50",161.450000000001,-7.69042932222421,15275.4
39,"APD 70",186.5,-28.6254869216123,15300.45
39,"APD 90",214.049999999999,-49.6215796743514,15328
40,"APD 10",51.5,33.0200179628833,15655.4
40,"APD 30",110.800000000001,12.3291009768991,15714.7
40,"APD 50",140.550000000001,-8.48388631578702,15744.45
40,"APD 70",163.800000000001,-29.1748033017712,15767.7
40,"APD 90",189.25,-49.9877905944574,15793.15
41,"APD 10",46.8999999999996,32.7148421961284,16071
41,"APD 30",98.7000000000007,12.2070306701972,16122.8
41,"APD 50",125.549999999999,-8.23974570238308,16149.65
41,"APD 70",147.549999999999,-28.6865220749633,16171.65
41,"APD 90",172.35,-49.2553687542455,16196.45
42,"APD 10",43.0500000000029,31.4331039757577,16456.75
42,"APD 30",90.4500000000007,11.4135736766343,16504.15
42,"APD 50",119.050000000003,-8.72802692919097,16532.75
42,"APD 70",140.800000000003,-28.7475572283143,16554.5
42,"APD 90",165.550000000003,-48.8281226807886,16579.25
43,"APD 10",35.4000000000015,31.7993148958636,16840.55
43,"APD 30",87.4000000000015,11.7187494433893,16892.55
43,"APD 50",114.299999999999,-8.48388631578702,16919.45
43,"APD 70",135.600000000002,-28.5034166149104,16940.75
43,"APD 90",158.950000000001,-48.5839820673847,16964.1
44,"APD 10",43.75,32.4096664293734,17212.8
44,"APD 30",96.6499999999978,12.2070306701972,17265.7
44,"APD 50",124.899999999998,-7.99560508897914,17293.95
44,"APD 70",147.049999999999,-28.1372056948044,17316.1
44,"APD 90",172.399999999998,-48.4008766073317,17341.45
45,"APD 10",41.7000000000007,31.0058579023008,17595.15
45,"APD 30",89.4000000000015,11.1083979098794,17642.85
45,"APD 50",116.350000000002,-8.85009723589294,17669.8
45,"APD 70",138.350000000002,-28.6865220749633,17691.8
45,"APD 90",162.700000000001,-48.5839820673847,17716.15
46,"APD 10",42.7000000000007,30.9448227489498,17976.35
46,"APD 30",90.4000000000015,11.1083979098794,18024.05
46,"APD 50",117.600000000002,-8.66699177583998,18051.25
46,"APD 70",138.850000000002,-28.4423814615594,18072.5
46,"APD 90",163.049999999999,-48.2177711472788,18096.7
