"Sweep (n)","Ediast (mV)"
1,-62.4450653933935
2,-62.6220673381114
3,-60.7665986762414
4,-59.5764131858972
5,-60.3881807254653
6,-60.2539033880932
7,-61.2548799030493
8,-61.9262665899102
9,-62.6464813994518
10,-62.4023407860479
11,-62.908932558861
12,-62.3290986020267
13,-62.8540009208452
14,-63.1835907489405
15,-63.3605926936583
16,-63.464352454355
17,-63.0676239575736
18,-62.2497529026704
19,-62.2558564180055
20,-63.3056610556424
21,-62.719723583473
22,-62.3046845406863
23,-62.286373994681
24,-62.3962372707128
25,-63.3789032396636
26,-63.2568329329617
27,-62.9760712275471
28,-62.408444301383
29,-62.4328583627234
30,-62.7380341294783
31,-62.4206513320532
32,-62.8295868595048
33,-62.7136200681379
34,-62.6647919454571
35,-62.5427216387551
36,-60.742184614901
37,-61.9384736205804
38,-60.0158662900243
39,-60.6018037621938
40,-59.4177217871847
41,-59.1247530510999
42,-60.1989717500773
43,-59.0209932904032
44,-60.1745576887369
45,-59.74731161528
46,-60.0402803513647
47,-60.2783174494336
48,-60.4370088481461
49,-61.0412568663209
50,-59.3444796031635
51,-59.4116182718496
52,-59.442135848525
53,-59.6740694312588
54,-58.8928194683662
55,-58.8500948610205
56,-58.4350558182338
57,-58.5998507322814
58,-57.2998019659055
59,-57.3913546959319
60,-57.3608371192564
61,-58.1970187201649
