"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
1,28.5,-9.76562453615562
2,337.85,-9.76562453616658
3,154.55,-8.54492146914576
4,205.3,-8.54492146914576
5,265.9,-8.54492146910691
6,180.55,-8.54492146918476
7,281.5,-7.32421840215853
8,70,-8.54492146918462
9,88.0500000000002,-10.9863276031374
10,56.0499999999993,-8.54492146926248
11,206.599999999999,-8.54492146926237
12,93.6000000000004,-8.5449214691069
13,5.39999999999964,-8.54492146926233
14,326,-9.76562453612217
15,343.2,-10.9863276031376
16,1.90000000000055,-8.5449214691069
17,228.549999999999,-8.54492146926233
18,262.849999999999,-8.54492146926241
19,164.299999999999,-8.54492146926233
20,274.5,-9.76562453629995
21,265.599999999999,-9.76562453629985
22,267.200000000001,-9.76562453594468
23,94.5499999999993,-8.54492146926233
24,245.299999999999,-8.54492146926237
25,189.75,-8.54492146895154
26,298.85,-9.76562453629981
27,197.35,-9.76562453594457
28,198.1,-8.54492146926233
29,45.75,-8.54492146926248
30,157.599999999999,-8.54492146926233
31,339.699999999999,-8.54492146926233
32,197.65,-8.54492146926241
33,318.349999999999,-9.76562453629981
34,404.65,-9.76562453629995
35,266.1,-8.54492146926235
36,197,-8.54492146926233
37,174.799999999999,-8.54492146926233
38,398.65,-10.9863276033373
39,278.450000000001,-9.76562453629981
40,39.6500000000015,-8.54492146926233
41,100.049999999999,-8.54492146926262
42,198.599999999999,-9.76562453629983
43,236.299999999999,-9.76562453629981
44,300.849999999999,-10.9863276033373
45,20.2999999999993,-9.76562453629981
46,215.25,-7.32421840222488
47,262.549999999999,-8.54492146926233
48,216.300000000003,-9.7656245355893
49,115.450000000001,-8.54492146926233
50,247.049999999999,-9.76562453629981
51,22.3499999999985,-8.54492146926233
52,202.599999999999,-8.54492146926241
53,178.399999999998,-10.9863276033373
54,200.75,-8.54492146926236
55,245.599999999999,-8.54492146926233
56,81.2999999999993,-9.76562453629981
57,333.75,-8.54492146926248
58,225.75,-8.54492146926233
59,210.800000000003,-9.76562453558927
60,40.6000000000022,-9.76562453629981
61,141.399999999998,-7.324218402225
