"Sweep (n)","Peak x (s)","Peak y (mV)"
1,184.9,42.72460734569
2,184.4,42.5415018856371
3,178.45,42.6635721923391
4,201.75,42.3583964255841
5,203.8,42.72460734569
6,190.4,43.3349588791999
7,197.6,42.72460734569
8,185.95,42.6635721923391
9,184.05,43.029783112445
10,192.5,42.72460734569
11,180.5,42.785642499041
12,196.75,42.6025370389881
13,177,42.907712805743
14,190.549999999999,42.2363261188822
15,181.95,42.1752909655312
16,178.9,42.6635721923391
17,184.45,42.4804667322861
18,185,42.5415018856371
19,178.2,41.9921855054782
20,162.85,41.9921855054782
21,163.75,42.6025370389881
22,171.25,41.3207988186174
23,159.25,43.3349588791999
24,176.25,41.9921855054782
25,181.800000000001,42.0532206588292
26,164.699999999999,42.6635721923391
27,180.35,42.0532206588292
28,180.799999999999,42.3583964255841
29,173.25,42.5415018856371
30,165.5,42.1142558121802
31,172.450000000001,42.6025370389881
32,175,42.1142558121802
33,172.450000000001,43.029783112445
34,169.85,41.8090800454253
35,177.549999999999,42.5415018856371
36,177.950000000001,42.968747959094
37,171.1,42.846677652392
38,174.85,43.090818265796
39,185.549999999999,44.6777322529216
40,227.349999999999,43.3349588791999
41,183.799999999999,42.846677652392
42,166.799999999999,41.3818339719684
43,187.099999999999,41.7480448920743
44,156.200000000001,42.4194315789351
45,167.799999999999,40.8935527451605
46,169.700000000001,40.7714824384585
47,158.950000000001,40.8325175918095
48,161.199999999997,41.5649394320213
49,157,41.3818339719684
50,159.5,42.4194315789351
51,162,42.4804667322861
52,155.349999999999,43.5790994926038
53,142.049999999999,43.3349588791999
54,163.099999999999,43.090818265796
55,150.100000000002,43.3959940325509
56,143.349999999999,44.0673807194117
57,135.100000000002,44.1894510261137
58,159.25,43.9453104127098
59,158.400000000001,43.5180643392529
60,146.299999999999,43.8232401060078
61,140.799999999999,44.4335916395176
62,146.25,44.3725564861667
63,153.450000000001,44.0063455660607
64,143.549999999999,43.7622049526568
