"Sweep (n)","RR (ms)"
1,NA
2,352.85
3,358.6
4,354.6
5,340.8
6,339.8
7,363.05
8,340.5
9,354.45
10,351.95
11,368.5
12,339.95
13,361.099999999999
14,377.25
15,348
16,399.2
17,340.450000000001
18,358.799999999999
19,328.35
20,382.8
21,386.5
22,400.799999999999
23,378.35
24,372.35
25,325.199999999999
26,344.200000000001
27,346.5
28,361.35
29,361.35
30,354.199999999999
31,432.9
32,385
33,375.700000000001
34,365.699999999999
35,365.450000000001
36,361.200000000001
37,343.349999999999
38,371.950000000001
39,339.75
40,378.450000000001
41,360.9
42,354.35
43,419.15
44,457.199999999999
45,396.75
46,396.300000000001
47,413.399999999998
48,369.700000000001
49,396.200000000001
50,378
51,379.200000000001
52,370.149999999998
53,392.700000000001
54,388.650000000001
55,371.450000000001
56,413.25
57,366.599999999999
58,406.5
59,392.599999999999
60,423.200000000001
61,386.099999999999
62,392.25
63,387.700000000001
64,393.299999999999
65,412.100000000002
66,389.149999999998
67,400.200000000001
