"Sweep (n)","dV/dt max x (s)","dV/dt max y (V/s)"
1,208.9,97.6562453616661
2,179,96.4355422946452
3,135.7,91.5527300265619
4,185.4,80.5664024233745
5,189.25,91.5527300269783
6,150.05,91.5527300269783
7,144.25,79.3456993567145
8,166.95,83.0078085570387
9,157.5,92.7734330940046
10,137.849999999999,90.3320269591303
11,137.849999999999,85.4492146926235
12,133.25,89.1113238937359
13,127.9,83.0078085585486
14,170.599999999999,89.111323893736
15,132.75,101.318354562268
16,139.05,91.5527300261456
17,157.45,96.4355422942067
18,202.9,70.8007778868859
19,171,79.3456993574361
20,154.049999999999,91.5527300278109
21,175.199999999999,92.7734330948484
22,153.15,84.228511625586
23,188.200000000001,81.7871054885357
24,153.75,73.2421840195842
25,131.699999999999,97.6562453629983
26,136.85,85.4492146926235
27,124.049999999999,90.3320269607735
28,148.85,79.3456993574361
29,145.1,80.5664024215426
30,133.049999999999,76.9042932233612
31,118.25,80.5664024215426
32,138.5,72.0214809552113
33,172.849999999999,73.2421840222487
34,153.299999999999,75.6835901563237
35,165.300000000001,81.7871054885357
36,140.150000000001,50.0488257467159
37,111.949999999999,80.5664024244736
38,151.6,58.593747217799
39,124.150000000001,84.2285116255861
40,155.450000000001,59.8144502848365
41,154.25,57.3730441465871
42,127.799999999999,73.2421840222488
43,133.049999999999,65.9179656200239
44,122,68.3593717540988
45,153.799999999999,67.1386686870614
46,141.200000000001,65.9179656152277
47,118,62.2558564189114
48,132.900000000001,64.6972625529864
49,156.350000000002,67.1386686870614
49,156.450000000001,67.1386686870614
50,141.849999999999,57.3730441507615
51,124.799999999999,42.7246073463118
52,102.25,52.4902318826116
53,113.699999999997,42.7246073463118
54,123,37.8417950781618
55,92.1999999999971,43.9453104133492
56,104.599999999999,37.8417950781619
57,112.950000000001,47.6074196144617
58,103.400000000001,34.1796858770494
59,119.5,29.2968736088995
59,119.75,29.2968736088995
60,102.050000000003,34.1796858745625
61,108.699999999997,41.5039042792743
