"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"1","18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)","Value",0.878565327987015
"2","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","Ediast (mV)","Value",0.899245163254942
"3","18704045","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","Ediast (mV)","Value",1.13864855856219
"4","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","APA (mV)","Value",3.83151625696405
"5","18704045","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","APA (mV)","Value",1.17549961755804
"6","18711043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",1.13697783871858
"7","18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",0.715559343505211
"8","18712050","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",27.0186934760191
"9","18712067","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",1.15208806809915
"10","18716043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","dV/dt max y (V/s)","Value",0.882510971343922
"11","18703040","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","dV/dt max y (V/s)","Value",1.31149799253065
"12","18704056","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","dV/dt max y (V/s)","Value",1.32883508287771
"13","18703057","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","dV/dt max y (V/s)","Value",0.716331338378727
"14","18704028","RN_STZ_2744_4Hz","RN","STZ","2744","4Hz","dV/dt max y (V/s)","Value",25.8057995036634
"15","18704045","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","dV/dt max y (V/s)","Value",1.54636680528826
"16","18704058","RN_STZ_2744_7.1Hz","RN","STZ","2744","7.1Hz","dV/dt max y (V/s)","Value",1.10201957558242
"17","18711038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",11.2245797297244
"18","18711042","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",9.89162352998945
"19","18711046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",10.3154960274429
"20","18711050","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",16.1675171617168
"21","18711054","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",8.49030593360438
"22","18711058","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",8.87206769074617
"23","18711071","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",10.7577131239436
"24","18712049","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",10.8934761410069
"25","18712053","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",10.204410570624
"26","18712061","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",8.38296097239115
"27","18712066","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",6.21316254958874
"28","18712072","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",9.33662204302665
"29","18713033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",6.82730992164471
"30","18713038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",9.6582242692398
"31","18713044","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",6.12399144536694
"32","18716029","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",6.77550712101862
"33","18716037","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",12.8281567810432
"34","18716042","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",14.5248571690482
"35","18716046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",6.48776411435622
"36","18716051","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",9.12853808185594
"37","18711043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",10.6998341181286
"38","18711047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",8.03885162925692
"39","18711051","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",7.50699689740286
"40","18711059","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",8.87972167296132
